feature;model;dataset;rank
degree_reinforcement;lr;coauth-MAG-Geology;1
14_swg;lr;coauth-MAG-Geology;2
24_swa;lr;coauth-MAG-Geology;3
4_swa;lr;coauth-MAG-Geology;4
4_swh;lr;coauth-MAG-Geology;5
2_swa;lr;coauth-MAG-Geology;6
7_swg;lr;coauth-MAG-Geology;7
5_swg;lr;coauth-MAG-Geology;8
12_swg;lr;coauth-MAG-Geology;9
lifetime_one_edge;lr;coauth-MAG-Geology;10
weight_reinforcement;lr;coauth-MAG-Geology;11
6_swa;lr;coauth-MAG-Geology;12
5_swh;lr;coauth-MAG-Geology;13
15_swh;lr;coauth-MAG-Geology;14
20_swa;lr;coauth-MAG-Geology;15
16_swh;lr;coauth-MAG-Geology;16
weight_balance;lr;coauth-MAG-Geology;17
18_swh;lr;coauth-MAG-Geology;18
22_swg;lr;coauth-MAG-Geology;19
15_swg;lr;coauth-MAG-Geology;20
hcn;rf;coauth-MAG-Geology;1
weight_reinforcement;rf;coauth-MAG-Geology;2
lifetime_one_edge;rf;coauth-MAG-Geology;3
4_swa;rf;coauth-MAG-Geology;4
timescale_density_balance;rf;coauth-MAG-Geology;5
19_swa;rf;coauth-MAG-Geology;6
degree_reinforcement;rf;coauth-MAG-Geology;7
6_swh;rf;coauth-MAG-Geology;8
4_swg;rf;coauth-MAG-Geology;9
6_swg;rf;coauth-MAG-Geology;10
lifetime_two_edges;rf;coauth-MAG-Geology;11
23_swa;rf;coauth-MAG-Geology;12
19_swg;rf;coauth-MAG-Geology;13
12_swa;rf;coauth-MAG-Geology;14
6_swa;rf;coauth-MAG-Geology;15
4_swh;rf;coauth-MAG-Geology;16
15_swa;rf;coauth-MAG-Geology;17
weight_balance;rf;coauth-MAG-Geology;18
3_swg;rf;coauth-MAG-Geology;19
15_swg;rf;coauth-MAG-Geology;20
lifetime_one_edge;xgb;coauth-MAG-Geology;1
weight_reinforcement;xgb;coauth-MAG-Geology;2
hcn;xgb;coauth-MAG-Geology;3
4_swa;xgb;coauth-MAG-Geology;4
19_swa;xgb;coauth-MAG-Geology;5
degree_reinforcement;xgb;coauth-MAG-Geology;6
timescale_density_balance;xgb;coauth-MAG-Geology;7
6_swh;xgb;coauth-MAG-Geology;8
lifetime_two_edges;xgb;coauth-MAG-Geology;9
4_swg;xgb;coauth-MAG-Geology;10
weight_balance;xgb;coauth-MAG-Geology;11
12_swg;xgb;coauth-MAG-Geology;12
18_swh;xgb;coauth-MAG-Geology;13
22_swg;xgb;coauth-MAG-Geology;14
24_swa;xgb;coauth-MAG-Geology;15
12_swh;xgb;coauth-MAG-Geology;16
6_swg;xgb;coauth-MAG-Geology;17
6_swa;xgb;coauth-MAG-Geology;18
23_swa;xgb;coauth-MAG-Geology;19
12_swa;xgb;coauth-MAG-Geology;20
13_swg;lr;coauth-MAG-History;1
21_swg;lr;coauth-MAG-History;2
3_swg;lr;coauth-MAG-History;3
15_swg;lr;coauth-MAG-History;4
13_swa;lr;coauth-MAG-History;5
12_swg;lr;coauth-MAG-History;6
4_swg;lr;coauth-MAG-History;7
3_swh;lr;coauth-MAG-History;8
21_swa;lr;coauth-MAG-History;9
15_swh;lr;coauth-MAG-History;10
24_swg;lr;coauth-MAG-History;11
8_swa;lr;coauth-MAG-History;12
21_swh;lr;coauth-MAG-History;13
17_swg;lr;coauth-MAG-History;14
5_swh;lr;coauth-MAG-History;15
10_swh;lr;coauth-MAG-History;16
12_swh;lr;coauth-MAG-History;17
20_swg;lr;coauth-MAG-History;18
14_swa;lr;coauth-MAG-History;19
1_swg;lr;coauth-MAG-History;20
10_swg;rf;coauth-MAG-History;1
10_swa;rf;coauth-MAG-History;2
12_swa;rf;coauth-MAG-History;3
23_swa;rf;coauth-MAG-History;4
lifetime_two_edges;rf;coauth-MAG-History;5
18_swh;rf;coauth-MAG-History;6
hcn;rf;coauth-MAG-History;7
degree_reinforcement;rf;coauth-MAG-History;8
10_swh;rf;coauth-MAG-History;9
7_swa;rf;coauth-MAG-History;10
21_swh;rf;coauth-MAG-History;11
weight_reinforcement;rf;coauth-MAG-History;12
lifetime_one_edge;rf;coauth-MAG-History;13
23_swh;rf;coauth-MAG-History;14
timescale_density_balance;rf;coauth-MAG-History;15
6_swa;rf;coauth-MAG-History;16
degree_balance;rf;coauth-MAG-History;17
24_swa;rf;coauth-MAG-History;18
12_swg;rf;coauth-MAG-History;19
21_swg;rf;coauth-MAG-History;20
10_swa;xgb;coauth-MAG-History;1
23_swa;xgb;coauth-MAG-History;2
lifetime_two_edges;xgb;coauth-MAG-History;3
18_swh;xgb;coauth-MAG-History;4
10_swg;xgb;coauth-MAG-History;5
3_swh;xgb;coauth-MAG-History;6
12_swa;xgb;coauth-MAG-History;7
degree_balance;xgb;coauth-MAG-History;8
22_swh;xgb;coauth-MAG-History;9
9_swh;xgb;coauth-MAG-History;10
13_swh;xgb;coauth-MAG-History;11
weight_reinforcement;xgb;coauth-MAG-History;12
21_swa;xgb;coauth-MAG-History;13
degree_reinforcement;xgb;coauth-MAG-History;14
23_swg;xgb;coauth-MAG-History;15
24_swh;xgb;coauth-MAG-History;16
lifetime_one_edge;xgb;coauth-MAG-History;17
11_swa;xgb;coauth-MAG-History;18
5_swa;xgb;coauth-MAG-History;19
timescale_density_balance;xgb;coauth-MAG-History;20
0_swg;lr;email-Eu;1
5_swg;lr;email-Eu;2
21_swg;lr;email-Eu;3
0_swa;lr;email-Eu;4
1_swg;lr;email-Eu;5
5_swa;lr;email-Eu;6
5_swh;lr;email-Eu;7
0_swh;lr;email-Eu;8
13_swg;lr;email-Eu;9
8_swg;lr;email-Eu;10
13_swa;lr;email-Eu;11
21_swh;lr;email-Eu;12
8_swh;lr;email-Eu;13
1_swh;lr;email-Eu;14
13_swh;lr;email-Eu;15
3_swa;lr;email-Eu;16
20_swg;lr;email-Eu;17
1_swa;lr;email-Eu;18
8_swa;lr;email-Eu;19
21_swa;lr;email-Eu;20
weight_reinforcement;rf;email-Eu;1
5_swa;rf;email-Eu;2
3_swa;rf;email-Eu;3
19_swg;rf;email-Eu;4
19_swh;rf;email-Eu;5
10_swa;rf;email-Eu;6
10_swg;rf;email-Eu;7
19_swa;rf;email-Eu;8
22_swh;rf;email-Eu;9
23_swa;rf;email-Eu;10
0_swa;rf;email-Eu;11
3_swg;rf;email-Eu;12
5_swg;rf;email-Eu;13
lifetime_two_edges;rf;email-Eu;14
degree_reinforcement;rf;email-Eu;15
8_swh;rf;email-Eu;16
weight_balance;rf;email-Eu;17
10_swh;rf;email-Eu;18
17_swh;rf;email-Eu;19
14_swa;rf;email-Eu;20
weight_reinforcement;xgb;email-Eu;1
3_swa;xgb;email-Eu;2
5_swa;xgb;email-Eu;3
24_swa;xgb;email-Eu;4
4_swa;xgb;email-Eu;5
8_swh;xgb;email-Eu;6
22_swh;xgb;email-Eu;7
degree_reinforcement;xgb;email-Eu;8
