feature;model;dataset;rank
weight_reinforcement;lr;coauth-MAG-Geology;1
degree_reinforcement;lr;coauth-MAG-Geology;2
lifetime_one_edge;lr;coauth-MAG-Geology;3
weight_balance;lr;coauth-MAG-Geology;4
timescale_density_balance;lr;coauth-MAG-Geology;5
lifetime_two_edges;lr;coauth-MAG-Geology;6
hcn;lr;coauth-MAG-Geology;7
degree_balance;lr;coauth-MAG-Geology;8
pairwise_timescale_density;lr;coauth-MAG-Geology;9
hcn;rf;coauth-MAG-Geology;1
weight_reinforcement;rf;coauth-MAG-Geology;2
lifetime_one_edge;rf;coauth-MAG-Geology;3
lifetime_two_edges;rf;coauth-MAG-Geology;4
timescale_density_balance;rf;coauth-MAG-Geology;5
weight_balance;rf;coauth-MAG-Geology;6
degree_reinforcement;rf;coauth-MAG-Geology;7
degree_balance;rf;coauth-MAG-Geology;8
pairwise_timescale_density;rf;coauth-MAG-Geology;9
weight_reinforcement;xgb;coauth-MAG-Geology;1
hcn;xgb;coauth-MAG-Geology;2
lifetime_one_edge;xgb;coauth-MAG-Geology;3
degree_reinforcement;xgb;coauth-MAG-Geology;4
timescale_density_balance;xgb;coauth-MAG-Geology;5
weight_balance;xgb;coauth-MAG-Geology;6
lifetime_two_edges;xgb;coauth-MAG-Geology;7
degree_balance;xgb;coauth-MAG-Geology;8
pairwise_timescale_density;xgb;coauth-MAG-Geology;9
weight_reinforcement;lr;coauth-MAG-History;1
lifetime_two_edges;lr;coauth-MAG-History;2
lifetime_one_edge;lr;coauth-MAG-History;3
hcn;lr;coauth-MAG-History;4
weight_balance;lr;coauth-MAG-History;5
timescale_density_balance;lr;coauth-MAG-History;6
degree_balance;lr;coauth-MAG-History;7
degree_reinforcement;lr;coauth-MAG-History;8
pairwise_timescale_density;lr;coauth-MAG-History;9
weight_reinforcement;rf;coauth-MAG-History;1
hcn;rf;coauth-MAG-History;2
lifetime_two_edges;rf;coauth-MAG-History;3
degree_reinforcement;rf;coauth-MAG-History;4
weight_balance;rf;coauth-MAG-History;5
timescale_density_balance;rf;coauth-MAG-History;6
lifetime_one_edge;rf;coauth-MAG-History;7
degree_balance;rf;coauth-MAG-History;8
pairwise_timescale_density;rf;coauth-MAG-History;9
weight_reinforcement;xgb;coauth-MAG-History;1
hcn;xgb;coauth-MAG-History;2
lifetime_two_edges;xgb;coauth-MAG-History;3
degree_reinforcement;xgb;coauth-MAG-History;4
weight_balance;xgb;coauth-MAG-History;5
lifetime_one_edge;xgb;coauth-MAG-History;6
timescale_density_balance;xgb;coauth-MAG-History;7
degree_balance;xgb;coauth-MAG-History;8
pairwise_timescale_density;xgb;coauth-MAG-History;9
weight_reinforcement;lr;email-Eu;1
degree_reinforcement;lr;email-Eu;2
lifetime_two_edges;lr;email-Eu;3
weight_balance;lr;email-Eu;4
degree_balance;lr;email-Eu;5
timescale_density_balance;lr;email-Eu;6
lifetime_one_edge;lr;email-Eu;7
pairwise_timescale_density;lr;email-Eu;8
hcn;rf;email-Eu;9
weight_reinforcement;rf;email-Eu;1
degree_reinforcement;rf;email-Eu;2
lifetime_two_edges;rf;email-Eu;3
lifetime_one_edge;rf;email-Eu;4
timescale_density_balance;rf;email-Eu;5
degree_balance;rf;email-Eu;6
weight_balance;rf;email-Eu;7
pairwise_timescale_density;rf;email-Eu;8
hcn;rf;email-Eu;9
weight_reinforcement;xgb;email-Eu;1
degree_reinforcement;xgb;email-Eu;2
lifetime_two_edges;xgb;email-Eu;3
lifetime_one_edge;xgb;email-Eu;4
degree_balance;xgb;email-Eu;5
timescale_density_balance;xgb;email-Eu;6
weight_balance;xgb;email-Eu;7
pairwise_timescale_density;xgb;email-Eu;8
hcn;xgb;email-Eu;9
degree_balance;lr;contact-high-school;1
weight_reinforcement;lr;contact-high-school;2
weight_balance;lr;contact-high-school;3
lifetime_two_edges;lr;contact-high-school;4
degree_reinforcement;lr;contact-high-school;5
lifetime_one_edge;lr;contact-high-school;6
timescale_density_balance;lr;contact-high-school;7
pairwise_timescale_density;lr;contact-high-school;8
hcn;lr;contact-high-school;9
weight_reinforcement;rf;contact-high-school;1
timescale_density_balance;rf;contact-high-school;2
degree_balance;rf;contact-high-school;3
hcn;rf;contact-high-school;4
weight_balance;rf;contact-high-school;5
degree_reinforcement;rf;contact-high-school;6
lifetime_two_edges;rf;contact-high-school;7
lifetime_one_edge;rf;contact-high-school;8
pairwise_timescale_density;rf;contact-high-school;9
weight_reinforcement;xgb;contact-high-school;1
degree_balance;xgb;contact-high-school;2
degree_reinforcement;xgb;contact-high-school;3
timescale_density_balance;xgb;contact-high-school;4
weight_balance;xgb;contact-high-school;5
lifetime_two_edges;xgb;contact-high-school;6
lifetime_one_edge;xgb;contact-high-school;7
hcn;xgb;contact-high-school;8
pairwise_timescale_density;xgb;contact-high-school;9
timescale_density_balance;lr;contact-primary-school;1
weight_reinforcement;lr;contact-primary-school;2
degree_reinforcement;lr;contact-primary-school;3
weight_balance;lr;contact-primary-school;4
lifetime_one_edge;lr;contact-primary-school;5
lifetime_two_edges;lr;contact-primary-school;6
degree_balance;lr;contact-primary-school;7
hcn;lr;contact-primary-school;8
pairwise_timescale_density;lr;contact-primary-school;9
weight_reinforcement;rf;contact-primary-school;1
timescale_density_balance;rf;contact-primary-school;2
degree_reinforcement;rf;contact-primary-school;3
