feature_name,mean_abs_shap,rank
12_swa,1.3289889948139162,1
14_swa,0.6885283207662874,2
23_swa,0.34259897204135936,3
24_swa,0.046124485403992846,4
23_swg,0.021112824185259255,5
0_swa,0.0,6
15_swh,0.0,7
17_swg,0.0,8
17_swa,0.0,9
16_swh,0.0,10
16_swg,0.0,11
16_swa,0.0,12
14_swh,0.0,13
15_swg,0.0,14
15_swa,0.0,15
18_swa,0.0,16
14_swg,0.0,17
13_swh,0.0,18
13_swg,0.0,19
17_swh,0.0,20
18_swh,0.0,21
18_swg,0.0,22
21_swg,0.0,23
24_swg,0.0,24
23_swh,0.0,25
22_swh,0.0,26
22_swg,0.0,27
22_swa,0.0,28
21_swh,0.0,29
21_swa,0.0,30
12_swh,0.0,31
20_swh,0.0,32
20_swg,0.0,33
20_swa,0.0,34
19_swh,0.0,35
19_swg,0.0,36
19_swa,0.0,37
13_swa,0.0,38
12_swg,0.0,39
0_swg,0.0,40
11_swh,0.0,41
5_swg,0.0,42
5_swa,0.0,43
4_swh,0.0,44
4_swg,0.0,45
4_swa,0.0,46
3_swh,0.0,47
3_swg,0.0,48
3_swa,0.0,49
2_swh,0.0,50
2_swg,0.0,51
2_swa,0.0,52
1_swh,0.0,53
1_swg,0.0,54
1_swa,0.0,55
0_swh,0.0,56
5_swh,0.0,57
6_swa,0.0,58
6_swg,0.0,59
9_swg,0.0,60
11_swg,0.0,61
11_swa,0.0,62
10_swh,0.0,63
10_swg,0.0,64
10_swa,0.0,65
9_swh,0.0,66
9_swa,0.0,67
6_swh,0.0,68
8_swh,0.0,69
8_swg,0.0,70
8_swa,0.0,71
7_swh,0.0,72
7_swg,0.0,73
7_swa,0.0,74
24_swh,0.0,75
