feature_name,mean_abs_shap,rank
22_swa,0.8546753,1
12_swa,0.73644024,2
18_swa,0.5905244,3
18_swg,0.44520566,4
19_swa,0.41516596,5
8_swa,0.40674478,6
22_swg,0.30787632,7
1_swg,0.27923965,8
12_swg,0.26304042,9
7_swa,0.16066496,10
1_swa,0.15770136,11
9_swg,0.14814632,12
8_swh,0.14000012,13
1_swh,0.124906264,14
21_swg,0.11782432,15
2_swa,0.110425785,16
16_swa,0.11033638,17
9_swa,0.10266163,18
23_swa,0.1018043,19
14_swa,0.10008019,20
10_swa,0.08767224,21
12_swh,0.08698967,22
19_swg,0.081934325,23
11_swh,0.07995199,24
13_swh,0.07895758,25
13_swa,0.077311546,26
4_swa,0.06828534,27
23_swg,0.063214526,28
14_swg,0.06229623,29
6_swa,0.05937052,30
2_swh,0.043570187,31
0_swa,0.042353183,32
5_swg,0.03783103,33
3_swa,0.037795324,34
4_swh,0.03679704,35
24_swa,0.036341395,36
6_swg,0.034979917,37
21_swa,0.033541195,38
7_swh,0.03161242,39
18_swh,0.030712048,40
6_swh,0.027780062,41
15_swa,0.027457038,42
19_swh,0.02658613,43
0_swg,0.026494065,44
13_swg,0.02567326,45
2_swg,0.020903135,46
16_swg,0.019089313,47
15_swh,0.018708345,48
16_swh,0.016318254,49
11_swg,0.012706844,50
22_swh,0.005936647,51
3_swg,0.0,52
21_swh,0.0,53
3_swh,0.0,54
20_swg,0.0,55
0_swh,0.0,56
23_swh,0.0,57
24_swg,0.0,58
20_swh,0.0,59
10_swh,0.0,60
17_swh,0.0,61
20_swa,0.0,62
4_swg,0.0,63
5_swa,0.0,64
11_swa,0.0,65
17_swg,0.0,66
17_swa,0.0,67
5_swh,0.0,68
15_swg,0.0,69
14_swh,0.0,70
7_swg,0.0,71
8_swg,0.0,72
9_swh,0.0,73
10_swg,0.0,74
24_swh,0.0,75
