feature_name,mean_abs_shap,rank
13_swa,7.640834296727682,1
20_swa,5.644055790839944,2
4_swa,5.374123353765524,3
2_swa,2.801966298686155,4
24_swa,2.739388099640316,5
9_swh,2.595568813328042,6
7_swa,2.341889903812136,7
21_swa,1.8311864406089018,8
17_swa,1.7154624194083754,9
1_swg,1.4769568753370477,10
10_swa,1.4581252676465177,11
5_swa,1.3967851247928253,12
4_swh,1.371172931527919,13
24_swg,1.2558274315583404,14
14_swa,1.1777031464139647,15
16_swa,1.079369150967774,16
9_swg,1.0576551916420085,17
20_swh,0.9856743072019282,18
14_swg,0.9192435414819625,19
15_swh,0.8754144818784516,20
14_swh,0.8675597386268338,21
6_swa,0.7710658127541228,22
15_swg,0.7625980267567556,23
12_swa,0.729180378643188,24
11_swa,0.7112462180095687,25
16_swh,0.696024813718084,26
22_swh,0.6511364819502229,27
19_swg,0.5621728275121382,28
23_swa,0.5575317958168182,29
2_swg,0.5288745663171843,30
18_swh,0.40079065575211875,31
5_swh,0.36337264692217097,32
3_swh,0.3570911866002207,33
5_swg,0.2519309484748744,34
20_swg,0.24950398864075995,35
3_swg,0.20770082769017248,36
0_swh,0.10182810849286023,37
6_swh,0.04633979040030769,38
17_swh,0.0,39
18_swa,0.0,40
17_swg,0.0,41
0_swa,0.0,42
18_swg,0.0,43
19_swa,0.0,44
19_swh,0.0,45
21_swh,0.0,46
22_swa,0.0,47
22_swg,0.0,48
23_swg,0.0,49
23_swh,0.0,50
21_swg,0.0,51
12_swg,0.0,52
16_swg,0.0,53
8_swg,0.0,54
1_swa,0.0,55
1_swh,0.0,56
2_swh,0.0,57
3_swa,0.0,58
4_swg,0.0,59
6_swg,0.0,60
7_swg,0.0,61
7_swh,0.0,62
8_swa,0.0,63
8_swh,0.0,64
15_swa,0.0,65
9_swa,0.0,66
10_swg,0.0,67
10_swh,0.0,68
11_swg,0.0,69
11_swh,0.0,70
0_swg,0.0,71
12_swh,0.0,72
13_swg,0.0,73
13_swh,0.0,74
24_swh,0.0,75
