feature_name,mean_abs_shap,rank
13_swa,7.649485175156816,1
20_swa,5.628474246030025,2
4_swa,5.4643857635133015,3
2_swa,2.827900308833625,4
24_swa,2.76120476107038,5
9_swh,2.412141030736695,6
7_swa,2.3200693254692015,7
21_swa,1.8478434567750823,8
17_swa,1.711934093560242,9
1_swg,1.4900426958166233,10
4_swh,1.4487135116796708,11
10_swa,1.448064240531919,12
5_swa,1.437268169590186,13
9_swg,1.2623209907587043,14
24_swg,1.236662191136517,15
14_swa,1.2186918038039662,16
16_swa,1.0749500103354044,17
20_swh,0.9622112637556746,18
15_swh,0.8936480327957211,19
14_swg,0.8424460929549612,20
14_swh,0.8323943408475072,21
6_swa,0.7768818213348019,22
11_swa,0.7255526517563592,23
12_swa,0.7181234622528008,24
15_swg,0.7172566783041605,25
16_swh,0.6959537755033944,26
22_swh,0.6532551663166626,27
23_swa,0.5652964332402265,28
19_swg,0.5640581045351211,29
2_swg,0.5080898239803975,30
18_swh,0.40081402196770166,31
5_swh,0.37611062068275963,32
3_swh,0.3493035615659297,33
20_swg,0.22964535108539383,34
3_swg,0.21639075005001385,35
5_swg,0.20293601406726652,36
0_swh,0.10297309869095399,37
6_swh,0.04616938437622448,38
17_swh,0.0,39
18_swa,0.0,40
