feature_name,mean_abs_shap,rank
23_swa,0.5776078,1
23_swg,0.56199986,2
5_swa,0.41016585,3
3_swa,0.4042232,4
7_swa,0.37680987,5
24_swa,0.3730083,6
22_swa,0.36680084,7
4_swa,0.35853764,8
12_swa,0.35312033,9
9_swh,0.34697172,10
19_swg,0.3405718,11
24_swh,0.33584702,12
12_swg,0.3107328,13
10_swa,0.2969899,14
24_swg,0.2829041,15
13_swg,0.27146202,16
1_swa,0.25524163,17
13_swa,0.24687314,18
11_swa,0.24397413,19
23_swh,0.23834406,20
14_swa,0.22701025,21
8_swh,0.20548338,22
18_swh,0.20544802,23
12_swh,0.2014385,24
15_swg,0.20091197,25
17_swa,0.19348831,26
21_swa,0.19265889,27
22_swg,0.17933893,28
16_swg,0.17779376,29
0_swa,0.17150722,30
20_swg,0.16928872,31
15_swa,0.16828506,32
0_swh,0.16688222,33
16_swa,0.15196446,34
19_swa,0.15149939,35
7_swh,0.15092967,36
18_swg,0.15036438,37
22_swh,0.14855212,38
6_swa,0.14779542,39
6_swh,0.14248028,40
20_swa,0.14185135,41
4_swh,0.14116694,42
10_swg,0.1379004,43
6_swg,0.13136543,44
16_swh,0.12211385,45
3_swh,0.11392672,46
4_swg,0.113709696,47
3_swg,0.104869805,48
19_swh,0.10330957,49
2_swa,0.10214972,50
17_swg,0.099865645,51
10_swh,0.0998379,52
2_swh,0.09951609,53
18_swa,0.09863186,54
14_swh,0.097368926,55
15_swh,0.095548004,56
2_swg,0.09257287,57
20_swh,0.089943215,58
13_swh,0.087554105,59
17_swh,0.08686395,60
11_swh,0.086596735,61
7_swg,0.08455647,62
5_swh,0.07410706,63
9_swg,0.074009,64
11_swg,0.07213158,65
8_swg,0.06510301,66
8_swa,0.065082036,67
21_swh,0.064604335,68
14_swg,0.06084673,69
5_swg,0.05442771,70
1_swh,0.047851153,71
9_swa,0.04292087,72
0_swg,0.036364943,73
1_swg,0.0346991,74
21_swg,0.027226454,75
