feature_name,mean_abs_shap,rank
5_swa,1.0210568,1
4_swa,0.7465779,2
20_swg,0.7416424,3
24_swg,0.5917412,4
19_swg,0.5886879,5
24_swa,0.56992966,6
23_swg,0.55461794,7
23_swa,0.5459801,8
0_swh,0.46603993,9
19_swa,0.3964969,10
17_swa,0.3944072,11
0_swa,0.39040285,12
16_swa,0.3544084,13
13_swa,0.33329234,14
15_swg,0.30430982,15
23_swh,0.29486763,16
3_swa,0.28707033,17
7_swa,0.2640125,18
22_swh,0.24986228,19
14_swa,0.24638738,20
9_swh,0.2411463,21
24_swh,0.22411563,22
12_swh,0.20523737,23
10_swa,0.2040312,24
6_swh,0.19121343,25
8_swh,0.18256289,26
22_swa,0.17780955,27
18_swg,0.17541084,28
18_swh,0.15851207,29
22_swg,0.15138932,30
16_swg,0.15020786,31
1_swa,0.1481738,32
11_swa,0.13317236,33
15_swa,0.107966654,34
12_swa,0.09624164,35
7_swh,0.09302811,36
13_swg,0.087995425,37
21_swa,0.07978921,38
12_swg,0.07237515,39
6_swa,0.060675412,40
