feature_name,mean_abs_shap,rank
19_swa,0.24613918,1
4_swa,0.18456689,2
6_swh,0.13521653,3
24_swa,0.106390014,4
12_swg,0.09547269,5
12_swa,0.09183529,6
4_swg,0.085160024,7
23_swa,0.08072869,8
6_swg,0.079298854,9
22_swg,0.07471522,10
12_swh,0.07323688,11
23_swh,0.07032538,12
19_swg,0.06722552,13
15_swa,0.0666265,14
22_swh,0.054901782,15
18_swh,0.053121228,16
4_swh,0.050706603,17
10_swh,0.050639614,18
6_swa,0.0502178,19
3_swg,0.04576507,20
23_swg,0.045639865,21
16_swh,0.04268544,22
14_swh,0.0405006,23
14_swg,0.04034457,24
7_swa,0.039302573,25
2_swh,0.0361847,26
9_swa,0.033535846,27
14_swa,0.03336359,28
15_swh,0.03287795,29
15_swg,0.03149371,30
16_swa,0.030226279,31
16_swg,0.029957715,32
10_swa,0.028930044,33
3_swh,0.028328964,34
22_swa,0.026121683,35
24_swh,0.025586471,36
9_swh,0.024766559,37
9_swg,0.02442021,38
5_swa,0.023980275,39
8_swa,0.023602083,40
13_swa,0.02183698,41
19_swh,0.021584203,42
20_swa,0.021164639,43
2_swg,0.021020547,44
2_swa,0.020394329,45
5_swg,0.019845566,46
8_swh,0.018397648,47
20_swh,0.016988762,48
18_swa,0.015858699,49
1_swh,0.0149814775,50
10_swg,0.014804004,51
21_swh,0.014293219,52
5_swh,0.014226027,53
18_swg,0.013721547,54
0_swa,0.013541475,55
7_swh,0.013532695,56
3_swa,0.013482495,57
0_swg,0.012260789,58
17_swa,0.011230782,59
11_swa,0.010999543,60
8_swg,0.010711465,61
24_swg,0.010467061,62
7_swg,0.009765847,63
11_swh,0.008904612,64
11_swg,0.00883351,65
13_swg,0.008826712,66
21_swa,0.0086609,67
0_swh,0.008139595,68
13_swh,0.006951812,69
1_swa,0.0062795286,70
21_swg,0.0062626097,71
17_swg,0.0061681545,72
20_swg,0.006080148,73
1_swg,0.004435763,74
17_swh,0.0034632592,75
