feature_name,mean_abs_shap,rank
21_swa,1.4906879070722745,1
24_swg,1.4115802685279513,2
21_swg,1.371586124422007,3
5_swa,1.3588952179656701,4
8_swa,1.3462290775413406,5
7_swh,1.213899720335396,6
15_swg,1.0932353822439187,7
12_swg,1.0901140756900556,8
10_swh,1.08327615096327,9
8_swh,1.0639486052692992,10
17_swh,0.9395096350100255,11
17_swg,0.8564913479700986,12
12_swa,0.8419386915172825,13
9_swg,0.8127899037064099,14
1_swa,0.8069914509170634,15
7_swa,0.726589130128694,16
24_swh,0.7018692828232986,17
3_swh,0.6687927172211011,18
5_swg,0.5790095804991265,19
11_swg,0.519967620288586,20
16_swa,0.5052432186493624,21
15_swh,0.4869502912831914,22
6_swh,0.47725445650659665,23
4_swg,0.45924477430533306,24
5_swh,0.43700808189343826,25
10_swa,0.431025423250882,26
22_swh,0.40016351512947007,27
13_swa,0.3827651189637678,28
18_swa,0.36451149179960257,29
9_swh,0.3159685498561811,30
14_swg,0.28030423449078434,31
20_swa,0.22931954256888598,32
0_swh,0.22572440243139408,33
2_swh,0.22549698977735666,34
6_swg,0.20185400944187198,35
23_swa,0.1979260395157371,36
12_swh,0.1724396022052885,37
2_swa,0.1699218762052341,38
19_swg,0.16726890011034704,39
1_swh,0.15951424109623863,40
23_swg,0.1572350311473163,41
16_swg,0.138907409973608,42
20_swh,0.10425574969496447,43
19_swa,0.06253200194146415,44
18_swg,0.04860187761647774,45
3_swa,0.03406196406299542,46
11_swa,0.03197622014760287,47
16_swh,0.00383065395666207,48
1_swg,0.0,49
22_swa,0.0,50
22_swg,0.0,51
7_swg,0.0,52
20_swg,0.0,53
23_swh,0.0,54
4_swh,0.0,55
24_swa,0.0,56
19_swh,0.0,57
21_swh,0.0,58
8_swg,0.0,59
18_swh,0.0,60
11_swh,0.0,61
2_swg,0.0,62
17_swa,0.0,63
4_swa,0.0,64
9_swa,0.0,65
6_swa,0.0,66
15_swa,0.0,67
14_swh,0.0,68
10_swg,0.0,69
14_swa,0.0,70
13_swh,0.0,71
13_swg,0.0,72
3_swg,0.0,73
0_swg,0.0,74
0_swa,0.0,75
