feature_name,mean_abs_shap,rank
23_swa,0.5078425,1
10_swa,0.4069586,2
18_swh,0.30353343,3
12_swa,0.28635487,4
22_swh,0.2585427,5
10_swg,0.25599974,6
23_swg,0.2415669,7
9_swh,0.22557783,8
19_swg,0.18349248,9
21_swh,0.1678916,10
11_swa,0.16676764,11
24_swg,0.14602871,12
21_swa,0.13451986,13
18_swg,0.1335978,14
10_swh,0.13152511,15
6_swh,0.1270067,16
14_swg,0.124890625,17
24_swh,0.124431156,18
7_swa,0.11318037,19
13_swh,0.11166692,20
12_swg,0.110322274,21
11_swh,0.108695865,22
12_swh,0.10827517,23
24_swa,0.10511082,24
8_swa,0.09538446,25
21_swg,0.08983429,26
5_swh,0.0884963,27
17_swh,0.07941306,28
5_swg,0.078717105,29
2_swg,0.07369494,30
17_swa,0.07261538,31
3_swh,0.07070732,32
15_swa,0.06885689,33
1_swh,0.068834186,34
13_swa,0.06736217,35
0_swh,0.06636151,36
9_swa,0.06619673,37
14_swh,0.06229044,38
16_swh,0.062052928,39
13_swg,0.05823709,40
19_swa,0.057918884,41
7_swg,0.05574903,42
1_swa,0.055438098,43
1_swg,0.0540188,44
15_swh,0.053322766,45
4_swa,0.051209874,46
6_swa,0.05023375,47
23_swh,0.047782425,48
16_swg,0.047734596,49
3_swa,0.046625298,50
17_swg,0.044151176,51
5_swa,0.04371463,52
7_swh,0.04311637,53
20_swa,0.042553764,54
9_swg,0.039507747,55
14_swa,0.0388473,56
4_swg,0.037561152,57
16_swa,0.035813607,58
22_swg,0.035664693,59
19_swh,0.034051154,60
2_swh,0.033866312,61
3_swg,0.033297025,62
0_swa,0.030753912,63
11_swg,0.027451713,64
2_swa,0.026588239,65
22_swa,0.025725046,66
0_swg,0.024997802,67
8_swh,0.022052143,68
6_swg,0.020976989,69
4_swh,0.015667373,70
18_swa,0.014034149,71
15_swg,0.012872904,72
8_swg,0.008394092,73
20_swh,0.0,74
20_swg,0.0,75
