feature_name,mean_abs_shap,rank
2_swa,0.31738786535157415,1
4_swh,0.13364836335201039,2
18_swg,0.04596796583481476,3
10_swa,0.03422525671916699,4
14_swg,0.0,5
14_swh,0.0,6
14_swa,0.0,7
15_swa,0.0,8
15_swg,0.0,9
15_swh,0.0,10
18_swh,0.0,11
16_swa,0.0,12
16_swg,0.0,13
16_swh,0.0,14
13_swh,0.0,15
17_swa,0.0,16
17_swg,0.0,17
17_swh,0.0,18
18_swa,0.0,19
0_swa,0.0,20
19_swg,0.0,21
19_swa,0.0,22
13_swa,0.0,23
24_swg,0.0,24
24_swa,0.0,25
23_swh,0.0,26
23_swg,0.0,27
23_swa,0.0,28
22_swh,0.0,29
22_swg,0.0,30
22_swa,0.0,31
21_swh,0.0,32
21_swg,0.0,33
21_swa,0.0,34
20_swh,0.0,35
20_swg,0.0,36
20_swa,0.0,37
19_swh,0.0,38
13_swg,0.0,39
12_swg,0.0,40
12_swh,0.0,41
3_swg,0.0,42
5_swh,0.0,43
5_swg,0.0,44
5_swa,0.0,45
4_swg,0.0,46
4_swa,0.0,47
3_swh,0.0,48
3_swa,0.0,49
6_swg,0.0,50
2_swh,0.0,51
2_swg,0.0,52
1_swh,0.0,53
1_swg,0.0,54
1_swa,0.0,55
0_swh,0.0,56
6_swa,0.0,57
6_swh,0.0,58
0_swg,0.0,59
9_swh,0.0,60
12_swa,0.0,61
11_swh,0.0,62
11_swg,0.0,63
11_swa,0.0,64
10_swh,0.0,65
10_swg,0.0,66
9_swg,0.0,67
7_swa,0.0,68
9_swa,0.0,69
8_swh,0.0,70
8_swg,0.0,71
8_swa,0.0,72
7_swh,0.0,73
7_swg,0.0,74
24_swh,0.0,75
