feature_name,mean_abs_shap,rank
2_swa,0.21957056,1
18_swh,0.16887864,2
3_swh,0.1607987,3
18_swg,0.14688432,4
4_swh,0.12580669,5
10_swa,0.120830685,6
23_swa,0.12016822,7
8_swh,0.097333446,8
22_swa,0.080917485,9
1_swg,0.07659825,10
7_swg,0.07490301,11
9_swa,0.072200894,12
6_swg,0.0703949,13
22_swh,0.070119604,14
7_swa,0.06365191,15
11_swa,0.05694971,16
20_swg,0.05652349,17
17_swa,0.05224723,18
9_swg,0.04360281,19
17_swh,0.04176486,20
4_swg,0.041089293,21
8_swg,0.040655363,22
5_swh,0.040389247,23
5_swg,0.039081503,24
14_swh,0.038841657,25
1_swh,0.03820297,26
5_swa,0.038014162,27
20_swa,0.03609807,28
14_swg,0.03608052,29
9_swh,0.035717778,30
14_swa,0.033450976,31
7_swh,0.029299486,32
19_swh,0.027779145,33
0_swh,0.027197488,34
0_swa,0.026731629,35
13_swg,0.025946934,36
18_swa,0.024794273,37
21_swa,0.023102887,38
13_swh,0.021418583,39
13_swa,0.021124698,40
6_swa,0.020310428,41
8_swa,0.019891357,42
17_swg,0.018768352,43
3_swg,0.01747958,44
1_swa,0.016781585,45
10_swh,0.016677514,46
4_swa,0.015897289,47
3_swa,0.014087776,48
12_swa,0.013446559,49
24_swa,0.010139705,50
20_swh,0.0071802917,51
6_swh,0.0065308046,52
16_swa,0.0062443963,53
22_swg,0.005329984,54
21_swg,0.0051563946,55
11_swg,0.004554124,56
15_swg,0.0044173026,57
21_swh,0.0043234755,58
11_swh,0.0038406502,59
0_swg,0.003530996,60
15_swa,0.0033063071,61
12_swg,0.0030509187,62
19_swg,0.0,63
19_swa,0.0,64
16_swh,0.0,65
16_swg,0.0,66
15_swh,0.0,67
12_swh,0.0,68
10_swg,0.0,69
2_swh,0.0,70
23_swg,0.0,71
23_swh,0.0,72
2_swg,0.0,73
24_swg,0.0,74
24_swh,0.0,75
