feature_name,mean_abs_shap,rank
8_swg,0.8988337083061769,1
13_swa,0.8663346089358432,2
10_swa,0.49293988279057693,3
9_swa,0.492397205439246,4
2_swa,0.40424743070595826,5
17_swa,0.34403016111756457,6
14_swa,0.24682022730641215,7
3_swa,0.22945559220401993,8
0_swa,0.19291123194996854,9
22_swh,0.18598327287664,10
14_swh,0.13235117120139697,11
23_swa,0.09907113369836773,12
11_swa,0.08718587913301774,13
0_swg,0.07942695581162171,14
0_swh,0.07592259660142862,15
19_swg,0.07453630920085919,16
4_swh,0.07127667296944955,17
16_swh,0.06826216696025507,18
15_swh,0.0528866905622636,19
13_swg,0.05119879418201192,20
3_swh,0.03126969996739654,21
3_swg,0.00900584538248463,22
23_swg,0.005867151361619213,23
24_swa,0.0017735421535574624,24
16_swg,0.0,25
17_swh,0.0,26
16_swa,0.0,27
24_swg,0.0,28
15_swg,0.0,29
17_swg,0.0,30
18_swg,0.0,31
23_swh,0.0,32
18_swa,0.0,33
18_swh,0.0,34
19_swa,0.0,35
15_swa,0.0,36
20_swa,0.0,37
20_swg,0.0,38
20_swh,0.0,39
21_swa,0.0,40
21_swg,0.0,41
21_swh,0.0,42
22_swa,0.0,43
22_swg,0.0,44
19_swh,0.0,45
12_swg,0.0,46
14_swg,0.0,47
6_swh,0.0,48
1_swa,0.0,49
1_swg,0.0,50
1_swh,0.0,51
2_swg,0.0,52
2_swh,0.0,53
4_swa,0.0,54
4_swg,0.0,55
5_swa,0.0,56
5_swg,0.0,57
5_swh,0.0,58
6_swa,0.0,59
6_swg,0.0,60
7_swa,0.0,61
13_swh,0.0,62
7_swg,0.0,63
7_swh,0.0,64
8_swa,0.0,65
8_swh,0.0,66
9_swg,0.0,67
9_swh,0.0,68
10_swg,0.0,69
10_swh,0.0,70
11_swg,0.0,71
11_swh,0.0,72
12_swa,0.0,73
12_swh,0.0,74
24_swh,0.0,75
