feature_name,mean_abs_shap,rank
13_swa,0.4635481,1
2_swa,0.44984537,2
22_swh,0.43225142,3
14_swa,0.42195937,4
10_swa,0.41079286,5
3_swa,0.39202192,6
18_swa,0.3438907,7
12_swa,0.3104337,8
22_swa,0.30401784,9
13_swg,0.25356308,10
21_swg,0.2418505,11
14_swg,0.22677764,12
20_swa,0.21646509,13
4_swg,0.21325275,14
13_swh,0.18474542,15
19_swa,0.18309091,16
7_swh,0.18223129,17
5_swa,0.17545778,18
9_swh,0.16890328,19
9_swg,0.16315125,20
10_swg,0.16009769,21
21_swh,0.15890487,22
3_swg,0.1530038,23
11_swa,0.14608811,24
0_swg,0.14291836,25
21_swa,0.13825929,26
17_swh,0.13615786,27
17_swa,0.13374978,28
22_swg,0.13284844,29
9_swa,0.13055268,30
14_swh,0.12711196,31
20_swg,0.11725791,32
10_swh,0.1152812,33
18_swg,0.11472152,34
7_swa,0.11265653,35
15_swa,0.107940964,36
6_swh,0.105579406,37
3_swh,0.101961456,38
4_swa,0.101593465,39
18_swh,0.09930292,40
6_swa,0.09553865,41
17_swg,0.08813903,42
2_swg,0.08792973,43
5_swg,0.0843241,44
8_swa,0.08430681,45
16_swh,0.08395087,46
4_swh,0.08195073,47
1_swh,0.08048024,48
8_swh,0.08045909,49
1_swa,0.078463934,50
6_swg,0.07698342,51
5_swh,0.07506397,52
20_swh,0.072623774,53
16_swa,0.07112407,54
7_swg,0.07097612,55
23_swa,0.06880736,56
19_swg,0.06487212,57
12_swg,0.06420079,58
1_swg,0.059571166,59
15_swh,0.053860325,60
19_swh,0.049383897,61
8_swg,0.046180975,62
24_swa,0.045886412,63
0_swa,0.044597328,64
11_swh,0.044010676,65
0_swh,0.04391316,66
16_swg,0.04150952,67
12_swh,0.021958558,68
15_swg,0.017635206,69
23_swg,0.01414517,70
11_swg,0.012052612,71
2_swh,0.01151886,72
23_swh,0.008590992,73
24_swg,0.0003954239,74
24_swh,0.0,75
