feature_name,mean_abs_shap,rank
24_swa,0.5615339,1
21_swg,0.5261468,2
12_swh,0.46663898,3
3_swg,0.44941366,4
19_swh,0.44503328,5
5_swa,0.4069187,6
4_swa,0.40645233,7
7_swh,0.3934819,8
0_swg,0.38761893,9
3_swa,0.3779201,10
20_swa,0.37126666,11
5_swh,0.34781358,12
24_swg,0.33607793,13
9_swh,0.33036724,14
0_swa,0.32727376,15
19_swa,0.32586884,16
20_swg,0.32421893,17
18_swa,0.31012666,18
12_swa,0.30151656,19
21_swh,0.2919732,20
16_swa,0.28933296,21
3_swh,0.2785348,22
22_swa,0.2680419,23
10_swa,0.267063,24
18_swg,0.2652408,25
17_swa,0.24359466,26
1_swg,0.24171796,27
19_swg,0.2349517,28
2_swa,0.23301877,29
24_swh,0.22404154,30
23_swa,0.21869245,31
12_swg,0.21102016,32
9_swa,0.20334405,33
21_swa,0.19837499,34
7_swa,0.19655123,35
18_swh,0.18845057,36
22_swh,0.1805602,37
11_swg,0.17292975,38
15_swa,0.17218956,39
20_swh,0.16720176,40
0_swh,0.16246922,41
5_swg,0.15722005,42
9_swg,0.15521894,43
17_swg,0.15479477,44
14_swh,0.15173058,45
8_swa,0.14983623,46
16_swg,0.14916337,47
15_swh,0.14840217,48
14_swa,0.14603232,49
16_swh,0.14390719,50
11_swa,0.13742603,51
4_swh,0.13643062,52
22_swg,0.13058683,53
23_swh,0.12281578,54
6_swh,0.11970609,55
11_swh,0.11168863,56
15_swg,0.10777227,57
17_swh,0.107194,58
8_swh,0.10604914,59
1_swh,0.103435144,60
4_swg,0.102249905,61
13_swh,0.10185821,62
7_swg,0.091903344,63
14_swg,0.09105091,64
13_swa,0.0899451,65
10_swg,0.08505534,66
6_swa,0.084270425,67
10_swh,0.083631955,68
8_swg,0.083432935,69
2_swh,0.08089796,70
23_swg,0.07973134,71
1_swa,0.077916406,72
13_swg,0.06384033,73
6_swg,0.062282626,74
2_swg,0.059759364,75
