feature_name,mean_abs_shap,rank
3_swa,0.7436327,1
24_swa,0.4897536,2
19_swa,0.43070787,3
17_swh,0.43018007,4
5_swa,0.4153508,5
4_swa,0.40258202,6
0_swa,0.38276476,7
22_swh,0.34510526,8
7_swh,0.33322677,9
14_swh,0.3184569,10
8_swh,0.30421218,11
9_swh,0.3030943,12
19_swg,0.28874665,13
24_swg,0.2877314,14
23_swa,0.28422207,15
12_swa,0.28252923,16
20_swa,0.2779617,17
3_swg,0.26582885,18
20_swg,0.26465175,19
15_swa,0.2562818,20
23_swh,0.24285656,21
20_swh,0.24195035,22
10_swa,0.23697864,23
6_swa,0.23445523,24
17_swg,0.23324883,25
4_swg,0.22096018,26
0_swg,0.2147631,27
2_swa,0.20376533,28
16_swa,0.20317002,29
7_swa,0.20122781,30
19_swh,0.19711037,31
6_swh,0.19600596,32
21_swa,0.19536386,33
9_swa,0.19161879,34
5_swg,0.1906683,35
9_swg,0.1905162,36
0_swh,0.18981887,37
10_swg,0.17800754,38
18_swg,0.17711633,39
14_swg,0.17075688,40
14_swa,0.1689717,41
16_swh,0.16888236,42
21_swg,0.16769987,43
21_swh,0.166657,44
8_swa,0.16206057,45
18_swh,0.1573995,46
4_swh,0.15657605,47
13_swa,0.15607324,48
12_swh,0.15165402,49
24_swh,0.1511247,50
10_swh,0.14825058,51
18_swa,0.14442062,52
22_swa,0.14223337,53
22_swg,0.13986452,54
17_swa,0.13436027,55
13_swh,0.13373658,56
11_swh,0.1317277,57
11_swa,0.12865533,58
5_swh,0.12827715,59
13_swg,0.12491399,60
7_swg,0.12115385,61
1_swh,0.11857886,62
3_swh,0.11707704,63
1_swa,0.11031405,64
15_swh,0.109626524,65
12_swg,0.109263845,66
23_swg,0.10811232,67
2_swh,0.10069376,68
6_swg,0.09999707,69
15_swg,0.095247366,70
16_swg,0.095094785,71
8_swg,0.09013907,72
11_swg,0.07944271,73
2_swg,0.07049583,74
1_swg,0.06473682,75
