feature_name,mean_abs_shap,rank
12_swa,0.02850406007296396,1
2_swg,0.022020472861403753,2
2_swa,0.020893863896489204,3
19_swg,0.01734826370927185,4
19_swa,0.012090349502055708,5
24_swa,0.01048883481486077,6
4_swh,0.010195451699884443,7
4_swg,0.009927191651492544,8
4_swa,0.008829585827476373,9
0_swa,0.008718515475231298,10
16_swg,0.008607295786258849,11
16_swa,0.008396429827981625,12
20_swa,0.00836422552310048,13
15_swa,0.008141623080313295,14
24_swg,0.007881919256759972,15
2_swh,0.007659538089707526,16
0_swh,0.007533122678047023,17
0_swg,0.006947907372449718,18
12_swg,0.006350473522857161,19
11_swg,0.006065172066978143,20
11_swa,0.005409919158231972,21
18_swg,0.005397568093190346,22
18_swh,0.005308587206539106,23
15_swg,0.004904938741158154,24
3_swa,0.00464682035400638,25
21_swa,0.004267248400496293,26
17_swa,0.004032004662217961,27
5_swh,0.00359853832370786,28
5_swa,0.003499115523157991,29
20_swh,0.0034844433129267217,30
23_swa,0.0034025397785650818,31
5_swg,0.003379015556094872,32
1_swa,0.003275529331847769,33
16_swh,0.00326948990359068,34
20_swg,0.0031590812856003023,35
7_swg,0.0030023104477609856,36
9_swh,0.0029204816789657113,37
22_swh,0.002879304173518153,38
7_swh,0.002746610127995251,39
17_swh,0.00274540353593238,40
22_swg,0.002628759204356674,41
3_swg,0.0025654803220639937,42
23_swg,0.0025422714404620193,43
9_swg,0.002469983989758074,44
19_swh,0.00242701785401489,45
11_swh,0.0023008939893565147,46
3_swh,0.002281065135915572,47
12_swh,0.0021398271451936695,48
21_swh,0.002082430166262446,49
9_swa,0.001964215467964985,50
15_swh,0.0018284669696467689,51
6_swh,0.0016500660956517547,52
23_swh,0.0016193578701193317,53
24_swh,0.0015957175773030092,54
1_swh,0.0015511936737096707,55
18_swa,0.0015371903321917076,56
21_swg,0.0015080994080033919,57
14_swa,0.0014184308775740556,58
1_swg,0.0013861751642221193,59
17_swg,0.0013817786922455909,60
14_swh,0.0013668950671341137,61
10_swa,0.001295993971147856,62
22_swa,0.0012755434649204488,63
6_swg,0.001189188154448423,64
8_swa,0.0010860664508440935,65
8_swh,0.001047587077660343,66
10_swh,0.0010248956370399606,67
6_swa,0.00098244874856521,68
14_swg,0.0009720708874917906,69
13_swh,0.0009626533154223764,70
10_swg,0.0009378123867557492,71
13_swa,0.0008916381373941302,72
8_swg,0.0008610186423461884,73
7_swa,0.0007925459387484505,74
13_swg,0.0007866684975637851,75
