feature_name,mean_abs_shap,rank
12_swa,0.51825047,1
4_swa,0.3070865,2
2_swg,0.28773522,3
2_swa,0.25326374,4
4_swg,0.15801483,5
0_swa,0.15765351,6
18_swh,0.140213,7
4_swh,0.1351307,8
16_swa,0.13396345,9
19_swg,0.1265239,10
5_swh,0.11631122,11
21_swa,0.11137248,12
14_swa,0.10402161,13
18_swg,0.10042978,14
17_swh,0.099815674,15
0_swh,0.088429116,16
20_swa,0.085979134,17
23_swa,0.084857814,18
16_swg,0.08395794,19
24_swh,0.08106699,20
19_swa,0.07325133,21
9_swh,0.07258756,22
2_swh,0.072266154,23
20_swh,0.07162228,24
12_swh,0.070146166,25
5_swa,0.06939586,26
7_swg,0.0670083,27
24_swg,0.06621761,28
21_swh,0.061976753,29
22_swh,0.061676923,30
0_swg,0.061247732,31
7_swh,0.058688644,32
10_swa,0.0586666,33
9_swa,0.053323504,34
10_swh,0.051750734,35
10_swg,0.05130405,36
5_swg,0.049515136,37
23_swh,0.04950116,38
3_swa,0.049217857,39
3_swh,0.049108814,40
17_swg,0.048867352,41
14_swh,0.048553705,42
16_swh,0.044447467,43
1_swh,0.044376176,44
22_swa,0.042818684,45
24_swa,0.041550197,46
9_swg,0.0406428,47
8_swa,0.0386879,48
6_swh,0.038289677,49
11_swh,0.037854105,50
3_swg,0.036196157,51
18_swa,0.032800063,52
19_swh,0.032578677,53
11_swa,0.032020956,54
22_swg,0.031996965,55
21_swg,0.0315446,56
12_swg,0.031005403,57
13_swh,0.03084349,58
15_swa,0.02769158,59
11_swg,0.027531952,60
17_swa,0.026616143,61
20_swg,0.024143925,62
15_swh,0.022049103,63
6_swa,0.020282714,64
8_swh,0.020010013,65
14_swg,0.018344738,66
13_swg,0.018113362,67
1_swg,0.017485343,68
1_swa,0.017082399,69
6_swg,0.016101023,70
23_swg,0.016062744,71
7_swa,0.015839094,72
13_swa,0.013600062,73
8_swg,0.013496511,74
15_swg,0.01135162,75
