feature_name,mean_abs_shap,rank
12_swa,0.5955925,1
2_swg,0.2933647,2
4_swa,0.27662647,3
2_swa,0.20114322,4
0_swa,0.1667808,5
16_swa,0.15107425,6
18_swh,0.14123863,7
4_swg,0.123226024,8
9_swh,0.11974781,9
5_swh,0.11869561,10
19_swg,0.115434825,11
18_swg,0.11121113,12
14_swa,0.107804164,13
21_swa,0.105350636,14
17_swh,0.10360409,15
16_swg,0.09484913,16
24_swh,0.09223685,17
20_swa,0.09178521,18
4_swh,0.09162353,19
2_swh,0.08732251,20
0_swh,0.08484443,21
23_swa,0.082394466,22
24_swg,0.08089358,23
12_swh,0.074076176,24
19_swa,0.07290417,25
7_swh,0.0717124,26
22_swh,0.06921776,27
5_swa,0.06868462,28
20_swh,0.06849167,29
9_swa,0.06727006,30
7_swg,0.06697678,31
10_swa,0.06552658,32
14_swh,0.061695002,33
0_swg,0.060751334,34
10_swh,0.060605183,35
21_swh,0.059263635,36
9_swg,0.05709017,37
3_swh,0.056936413,38
10_swg,0.05633501,39
16_swh,0.05375849,40
3_swa,0.05160305,41
6_swh,0.05142916,42
11_swa,0.050650746,43
18_swa,0.050224107,44
5_swg,0.049004685,45
23_swh,0.048244335,46
8_swa,0.04429214,47
3_swg,0.041589774,48
19_swh,0.041287147,49
17_swg,0.039761994,50
11_swh,0.03928189,51
13_swh,0.037987057,52
15_swa,0.034778763,53
24_swa,0.033909295,54
11_swg,0.033537395,55
22_swg,0.032987762,56
22_swa,0.0327285,57
13_swg,0.032138813,58
13_swa,0.031757597,59
15_swh,0.030253792,60
20_swg,0.029743345,61
7_swa,0.02779967,62
21_swg,0.027382731,63
8_swh,0.026738165,64
17_swa,0.026416661,65
12_swg,0.024655161,66
6_swa,0.024215136,67
1_swh,0.020918038,68
23_swg,0.020471528,69
6_swg,0.020046063,70
14_swg,0.019930929,71
15_swg,0.016785292,72
8_swg,0.016036911,73
1_swa,0.015110088,74
1_swg,0.014807563,75
