feature_name,mean_abs_shap,rank
10_swa,6.039877340902885,1
7_swa,4.096127659626081,2
17_swa,2.212980475705435,3
14_swa,2.0305542258164806,4
20_swh,1.7616145272938286,5
0_swa,1.6528413441947687,6
9_swh,1.361523821445553,7
12_swa,1.3049616840544365,8
13_swh,1.2184055861138097,9
17_swh,1.0435287475108947,10
1_swg,1.022055327612029,11
9_swg,0.9635605775026492,12
5_swa,0.9195875624656155,13
12_swh,0.8899351636113644,14
2_swh,0.756726327040038,15
15_swh,0.7483005691748289,16
14_swh,0.6001072769976451,17
24_swg,0.42151709456907543,18
3_swa,0.3967697171796318,19
24_swh,0.3785327234759197,20
11_swa,0.35924861729833774,21
2_swa,0.2631691364360646,22
15_swa,0.25587455243543655,23
21_swa,0.2309795157076664,24
6_swh,0.22571655046401237,25
11_swh,0.15884793932137012,26
22_swh,0.13047019779378366,27
23_swg,0.10389585715153199,28
20_swa,0.09391442691019694,29
16_swh,0.04359726702795587,30
19_swh,0.02781154658455258,31
13_swa,0.0014504933084536823,32
19_swg,0.0,33
17_swg,0.0,34
1_swh,0.0,35
0_swh,0.0,36
18_swa,0.0,37
18_swg,0.0,38
18_swh,0.0,39
19_swa,0.0,40
22_swa,0.0,41
21_swh,0.0,42
23_swa,0.0,43
20_swg,0.0,44
22_swg,0.0,45
24_swa,0.0,46
23_swh,0.0,47
21_swg,0.0,48
1_swa,0.0,49
2_swg,0.0,50
16_swg,0.0,51
10_swh,0.0,52
7_swg,0.0,53
7_swh,0.0,54
8_swa,0.0,55
8_swg,0.0,56
8_swh,0.0,57
9_swa,0.0,58
6_swa,0.0,59
5_swh,0.0,60
5_swg,0.0,61
10_swg,0.0,62
11_swg,0.0,63
16_swa,0.0,64
4_swh,0.0,65
0_swg,0.0,66
4_swg,0.0,67
13_swg,0.0,68
4_swa,0.0,69
3_swh,0.0,70
14_swg,0.0,71
3_swg,0.0,72
15_swg,0.0,73
6_swg,0.0,74
12_swg,0.0,75
