feature_name,mean_abs_shap,rank
12_swa,0.5984564,1
22_swa,0.43938512,2
22_swg,0.27353305,3
16_swa,0.25500122,4
15_swa,0.20630029,5
6_swh,0.19085877,6
24_swa,0.18247384,7
22_swh,0.18060799,8
19_swh,0.17194103,9
10_swg,0.17060913,10
17_swh,0.16508608,11
7_swh,0.15840553,12
11_swg,0.14370608,13
0_swh,0.14068249,14
19_swa,0.13799627,15
9_swh,0.13414426,16
4_swa,0.120235085,17
5_swh,0.109197415,18
19_swg,0.104356006,19
15_swg,0.099551596,20
4_swh,0.0937378,21
12_swg,0.09334028,22
8_swa,0.087671325,23
24_swh,0.08019615,24
4_swg,0.0768795,25
0_swa,0.067125484,26
7_swg,0.061765652,27
3_swh,0.061212707,28
16_swh,0.05463693,29
11_swh,0.05427162,30
7_swa,0.050551947,31
21_swh,0.04896173,32
18_swh,0.04656095,33
9_swg,0.04481487,34
18_swa,0.036658954,35
0_swg,0.033203267,36
12_swh,0.028540248,37
17_swg,0.02832232,38
14_swa,0.027747005,39
17_swa,0.011335051,40
2_swa,0.0,41
1_swh,0.0,42
1_swg,0.0,43
21_swg,0.0,44
21_swa,0.0,45
20_swh,0.0,46
20_swg,0.0,47
20_swa,0.0,48
23_swa,0.0,49
2_swg,0.0,50
23_swg,0.0,51
23_swh,0.0,52
1_swa,0.0,53
2_swh,0.0,54
24_swg,0.0,55
3_swa,0.0,56
9_swa,0.0,57
18_swg,0.0,58
3_swg,0.0,59
10_swa,0.0,60
6_swg,0.0,61
10_swh,0.0,62
11_swa,0.0,63
6_swa,0.0,64
5_swg,0.0,65
13_swa,0.0,66
13_swg,0.0,67
13_swh,0.0,68
14_swg,0.0,69
14_swh,0.0,70
5_swa,0.0,71
8_swh,0.0,72
15_swh,0.0,73
8_swg,0.0,74
16_swg,0.0,75
