feature_name,mean_abs_shap,rank
12_swa,1.3181986,1
22_swh,0.6610879,2
24_swa,0.620547,3
21_swh,0.5889653,4
19_swa,0.45532474,5
4_swh,0.44019702,6
22_swa,0.43659663,7
11_swh,0.39097664,8
6_swh,0.36314103,9
0_swg,0.32786697,10
11_swg,0.26668227,11
8_swa,0.25831726,12
4_swa,0.23316592,13
24_swh,0.20338327,14
17_swh,0.17749009,15
0_swh,0.17057085,16
14_swa,0.14480883,17
10_swg,0.13393204,18
15_swa,0.11710303,19
16_swa,0.11678381,20
17_swa,0.11354807,21
12_swg,0.11037734,22
7_swg,0.101259276,23
9_swh,0.094054274,24
7_swa,0.06845849,25
4_swg,0.053266063,26
17_swg,0.035555683,27
15_swg,0.026802873,28
18_swh,0.018461248,29
0_swa,0.0,30
16_swh,0.0,31
19_swg,0.0,32
7_swh,0.0,33
22_swg,0.0,34
9_swg,0.0,35
18_swa,0.0,36
19_swh,0.0,37
12_swh,0.0,38
5_swh,0.0,39
3_swh,0.0,40
