feature_name,mean_abs_shap,rank
12_swa,1.285303901251371,1
14_swa,0.6964427839492235,2
23_swg,0.19939233143939408,3
24_swa,0.10151202769913316,4
14_swh,0.0,5
15_swa,0.0,6
16_swh,0.0,7
14_swg,0.0,8
13_swh,0.0,9
19_swh,0.0,10
7_swa,0.0,11
12_swh,0.0,12
11_swh,0.0,13
5_swa,0.0,14
18_swh,0.0,15
hcn,0.0,16
degree_reinforcement,0.0,17
19_swa,0.0,18
9_swg,0.0,19
18_swa,0.0,20
21_swa,0.0,21
lifetime_two_edges,0.0,22
lifetime_one_edge,0.0,23
weight_balance,0.0,24
degree_balance,0.0,25
timescale_density_balance,0.0,26
pairwise_timescale_density,0.0,27
weight_reinforcement,0.0,28
24_swg,0.0,29
