feature_name,mean_abs_shap,rank
22_swa,0.05067192194926079,1
lifetime_two_edges,0.04239488063933138,2
18_swa,0.04092156565061957,3
18_swg,0.034977904980045896,4
15_swa,0.03441306184402115,5
21_swa,0.030632437211376585,6
12_swa,0.03062549022237916,7
21_swh,0.026110665251038497,8
14_swa,0.0239347422850311,9
8_swa,0.023604290728620525,10
1_swa,0.022980080118158903,11
12_swg,0.021540774654296144,12
21_swg,0.020667695070488303,13
9_swg,0.02037664290439813,14
15_swg,0.01894413537754246,15
15_swh,0.018647919680543194,16
23_swh,0.017617949955632,17
23_swg,0.015350599157381824,18
22_swg,0.013969228126979268,19
weight_reinforcement,0.012679069318641111,20
pairwise_timescale_density,0.012385107607766779,21
1_swh,0.010757247680623402,22
timescale_density_balance,0.009699634254799843,23
hcn,0.009630920967608246,24
1_swg,0.00916445209983374,25
weight_balance,0.007946682722978977,26
degree_reinforcement,0.007732702971710862,27
degree_balance,0.006676625229278999,28
lifetime_one_edge,0.006436375519742096,29
