feature_name,mean_abs_shap,rank
22_swa,0.783937,1
21_swg,0.7649079,2
12_swa,0.67755306,3
18_swg,0.6722907,4
lifetime_two_edges,0.4350093,5
18_swa,0.38588724,6
12_swg,0.38291797,7
timescale_density_balance,0.24875994,8
14_swa,0.21072379,9
10_swa,0.20419781,10
19_swa,0.20041949,11
7_swa,0.2003494,12
lifetime_one_edge,0.16152659,13
8_swa,0.16003206,14
9_swg,0.1597061,15
13_swh,0.15556744,16
degree_balance,0.14748722,17
1_swa,0.13504998,18
degree_reinforcement,0.11433941,19
0_swh,0.10779041,20
15_swg,0.09487676,21
15_swh,0.07981563,22
7_swg,0.07909505,23
11_swh,0.07602983,24
weight_reinforcement,0.07186342,25
15_swa,0.06871468,26
23_swa,0.061828844,27
2_swa,0.06135989,28
11_swg,0.059648816,29
16_swa,0.055522334,30
9_swh,0.054907795,31
9_swa,0.041821938,32
12_swh,0.038767938,33
16_swh,0.035820458,34
8_swh,0.029012388,35
13_swg,0.02778895,36
weight_balance,0.027521886,37
2_swh,0.027200982,38
13_swa,0.025222216,39
4_swg,0.02347653,40
23_swg,0.02106183,41
6_swa,0.013809956,42
4_swa,0.012507943,43
19_swg,0.010842771,44
1_swg,0.009569193,45
hcn,0.009432951,46
2_swg,0.007407842,47
4_swh,0.00530182,48
22_swh,0.0041896016,49
0_swg,0.0035887333,50
23_swh,0.0,51
22_swg,0.0,52
19_swh,0.0,53
20_swa,0.0,54
20_swg,0.0,55
24_swa,0.0,56
20_swh,0.0,57
17_swh,0.0,58
24_swg,0.0,59
18_swh,0.0,60
21_swa,0.0,61
21_swh,0.0,62
11_swa,0.0,63
17_swg,0.0,64
5_swh,0.0,65
pairwise_timescale_density,0.0,66
0_swa,0.0,67
1_swh,0.0,68
3_swa,0.0,69
3_swg,0.0,70
3_swh,0.0,71
5_swa,0.0,72
5_swg,0.0,73
6_swg,0.0,74
17_swa,0.0,75
6_swh,0.0,76
7_swh,0.0,77
8_swg,0.0,78
10_swg,0.0,79
10_swh,0.0,80
14_swg,0.0,81
14_swh,0.0,82
16_swg,0.0,83
24_swh,0.0,84
