feature_name,mean_abs_shap,rank
18_swa,0.9642471,1
12_swa,0.47404712,2
lifetime_two_edges,0.43074843,3
21_swa,0.27286536,4
12_swg,0.22670154,5
8_swa,0.21271136,6
7_swa,0.20385604,7
18_swg,0.18155175,8
9_swh,0.15776092,9
22_swa,0.08249113,10
degree_reinforcement,0.074348256,11
weight_balance,0.06369146,12
weight_reinforcement,0.054459687,13
lifetime_one_edge,0.054217942,14
hcn,0.022465857,15
9_swa,0.019685643,16
pairwise_timescale_density,0.019346604,17
degree_balance,0.016576253,18
timescale_density_balance,0.002117354,19
