feature_name,mean_abs_shap,rank
13_swa,4.035666858160783,1
5_swa,3.3163538361389984,2
20_swa,3.1172016653185644,3
6_swa,2.6893025405440514,4
24_swa,1.8426581369244244,5
10_swa,1.7155501718220063,6
0_swa,1.5516334563853293,7
17_swa,1.349487279625817,8
7_swa,1.3232659346358755,9
9_swh,1.3202162262823303,10
15_swh,1.0801178362201185,11
22_swg,0.9669375984313617,12
12_swa,0.945516625203651,13
23_swa,0.856943305079813,14
3_swg,0.8278010339034099,15
1_swg,0.8001543451837141,16
2_swa,0.6891217716783236,17
12_swg,0.6889962657659147,18
19_swa,0.6870528060936536,19
16_swh,0.6429115398936849,20
19_swg,0.5868256844208972,21
24_swg,0.576196435540106,22
degree_reinforcement,0.5324490771767723,23
4_swh,0.470311632406862,24
13_swh,0.4174361846319338,25
16_swa,0.4139413713525214,26
weight_reinforcement,0.36213469415873245,27
degree_balance,0.3474743880966532,28
11_swa,0.328152763110587,29
14_swh,0.3181345980719991,30
8_swh,0.3016878052917497,31
18_swa,0.2590922386531234,32
timescale_density_balance,0.24135592079494875,33
3_swa,0.22981456213283574,34
hcn,0.22084651113492515,35
4_swa,0.21207813755079521,36
11_swh,0.12320990803430983,37
9_swa,0.11456915005373902,38
lifetime_one_edge,0.08926531524327631,39
weight_balance,0.06771347464011246,40
lifetime_two_edges,0.055624832941481406,41
24_swh,0.035653002661191105,42
20_swg,0.0,43
1_swh,0.0,44
18_swg,0.0,45
18_swh,0.0,46
1_swa,0.0,47
0_swh,0.0,48
19_swh,0.0,49
0_swg,0.0,50
21_swa,0.0,51
20_swh,0.0,52
17_swg,0.0,53
21_swg,0.0,54
21_swh,0.0,55
22_swa,0.0,56
22_swh,0.0,57
23_swg,0.0,58
23_swh,0.0,59
pairwise_timescale_density,0.0,60
17_swh,0.0,61
8_swg,0.0,62
2_swg,0.0,63
16_swg,0.0,64
9_swg,0.0,65
8_swa,0.0,66
7_swh,0.0,67
10_swg,0.0,68
10_swh,0.0,69
7_swg,0.0,70
11_swg,0.0,71
6_swh,0.0,72
6_swg,0.0,73
12_swh,0.0,74
5_swh,0.0,75
13_swg,0.0,76
5_swg,0.0,77
14_swa,0.0,78
14_swg,0.0,79
4_swg,0.0,80
15_swa,0.0,81
15_swg,0.0,82
3_swh,0.0,83
2_swh,0.0,84
