feature_name,mean_abs_shap,rank
20_swa,17.66363036018658,1
13_swa,13.04007770995303,2
5_swa,5.177525303607358,3
6_swa,2.195087616972639,4
degree_reinforcement,1.2767460675510547,5
24_swa,1.140457752959669,6
timescale_density_balance,1.0333094128131421,7
weight_reinforcement,0.9372232865694028,8
lifetime_two_edges,0.6264307782555071,9
lifetime_one_edge,0.5792201814204475,10
hcn,0.3935347441747471,11
weight_balance,0.08409606004557467,12
degree_balance,0.05324668845910117,13
pairwise_timescale_density,0.0,14
