feature_name,mean_abs_shap,rank
4_swh,0.6200581,1
5_swa,0.46471748,2
weight_reinforcement,0.46341616,3
20_swa,0.41271615,4
degree_reinforcement,0.35144696,5
23_swg,0.32688195,6
14_swa,0.31887677,7
23_swa,0.30952698,8
4_swg,0.29523134,9
17_swg,0.27521178,10
4_swa,0.27198184,11
degree_balance,0.25057286,12
10_swa,0.24931855,13
6_swa,0.24128342,14
23_swh,0.23678023,15
22_swa,0.22782849,16
19_swg,0.22551075,17
pairwise_timescale_density,0.21762359,18
3_swh,0.21323343,19
0_swh,0.2115015,20
22_swh,0.20505142,21
3_swg,0.19485803,22
0_swa,0.19150676,23
24_swg,0.1908805,24
24_swa,0.18493482,25
3_swa,0.17637031,26
5_swg,0.17351711,27
13_swa,0.171043,28
9_swg,0.1672181,29
5_swh,0.15296055,30
24_swh,0.14634219,31
1_swa,0.14083079,32
16_swa,0.13203591,33
20_swh,0.12198429,34
16_swg,0.11620425,35
lifetime_one_edge,0.10687462,36
20_swg,0.105345376,37
15_swg,0.101859085,38
21_swa,0.10126676,39
7_swa,0.09424994,40
6_swg,0.09103866,41
21_swg,0.09048416,42
19_swa,0.08911233,43
18_swh,0.08821293,44
16_swh,0.087695114,45
lifetime_two_edges,0.087000445,46
1_swh,0.08663946,47
22_swg,0.08425654,48
timescale_density_balance,0.083356895,49
10_swh,0.08331927,50
11_swg,0.07655703,51
7_swh,0.07593853,52
10_swg,0.07469635,53
0_swg,0.07336921,54
12_swa,0.07130396,55
13_swh,0.06914202,56
6_swh,0.06819899,57
1_swg,0.06740933,58
9_swa,0.065100394,59
15_swh,0.06400416,60
15_swa,0.06381439,61
17_swh,0.0615648,62
13_swg,0.059179988,63
12_swg,0.056541856,64
2_swh,0.05615672,65
11_swh,0.053138733,66
21_swh,0.049005497,67
19_swh,0.048440654,68
2_swg,0.046677724,69
17_swa,0.04349702,70
18_swg,0.043184303,71
12_swh,0.042803474,72
8_swh,0.038430866,73
weight_balance,0.038239736,74
14_swg,0.037908528,75
2_swa,0.0377183,76
14_swh,0.035573125,77
8_swg,0.035468128,78
7_swg,0.033302706,79
11_swa,0.030129852,80
8_swa,0.028518371,81
hcn,0.02689277,82
9_swh,0.026610075,83
18_swa,0.024015063,84
