feature_name,mean_abs_shap,rank
5_swh,1.2057974371950109,1
degree_reinforcement,0.7374019079342793,2
hcn,0.7148668076857274,3
14_swg,0.699857508726092,4
7_swg,0.624337503933911,5
24_swa,0.5571434887299955,6
1_swa,0.4178233332793289,7
12_swg,0.3998068795264111,8
2_swa,0.3803925588498684,9
22_swa,0.32152928371650163,10
weight_reinforcement,0.2617351371879983,11
lifetime_one_edge,0.25330464189924307,12
pairwise_timescale_density,0.15806442053595784,13
weight_balance,0.1488321592352509,14
4_swh,0.13103306443517113,15
15_swh,0.07197169195338224,16
timescale_density_balance,0.04680397021973821,17
lifetime_two_edges,0.04084732735342016,18
degree_balance,0.007378048999396235,19
