feature_name,mean_abs_shap,rank
pairwise_timescale_density,0.03720878696598227,1
hcn,0.030759561287658613,2
19_swa,0.021430498734760536,3
4_swa,0.019448303376634272,4
weight_reinforcement,0.018156773814877722,5
lifetime_one_edge,0.016824116983684155,6
19_swg,0.012742859962537151,7
23_swa,0.012191799592938975,8
4_swg,0.012069410537332176,9
degree_reinforcement,0.011454397010728461,10
timescale_density_balance,0.010909920199320163,11
6_swh,0.010637830578957603,12
4_swh,0.010161520640387976,13
6_swg,0.009232117370246396,14
weight_balance,0.00843571287518976,15
6_swa,0.008236371573132745,16
18_swh,0.008071479848687054,17
14_swg,0.006694684828290124,18
9_swa,0.006634079983276132,19
14_swh,0.006550325672599851,20
12_swa,0.006534873167859479,21
12_swg,0.006415131890566365,22
lifetime_two_edges,0.006348823536045107,23
12_swh,0.0063172401146738945,24
14_swa,0.005929671404883084,25
15_swa,0.005457980735224172,26
24_swa,0.0049630206276984135,27
15_swg,0.004148151271828616,28
degree_balance,0.0026223234491626426,29
