feature_name,mean_abs_shap,rank
lifetime_one_edge,0.23794112,1
weight_reinforcement,0.2179282,2
hcn,0.19315529,3
4_swa,0.16667256,4
19_swa,0.15562184,5
degree_reinforcement,0.123363666,6
timescale_density_balance,0.11433375,7
6_swh,0.074291214,8
lifetime_two_edges,0.06214359,9
4_swg,0.06193487,10
weight_balance,0.05901464,11
12_swg,0.046956636,12
18_swh,0.04411886,13
22_swg,0.043567274,14
24_swa,0.043139562,15
12_swh,0.040730983,16
6_swg,0.038072534,17
6_swa,0.03167255,18
23_swa,0.030927042,19
12_swa,0.027575672,20
23_swh,0.025882093,21
7_swa,0.025508266,22
14_swg,0.022583053,23
15_swa,0.02222229,24
14_swa,0.0218664,25
10_swa,0.021795163,26
19_swg,0.021310534,27
4_swh,0.019406153,28
22_swh,0.018116105,29
3_swg,0.015967414,30
18_swg,0.0157768,31
14_swh,0.015459122,32
2_swh,0.014543877,33
15_swh,0.0143770175,34
9_swa,0.010601838,35
9_swg,0.010368776,36
16_swa,0.010009037,37
19_swh,0.009814513,38
22_swa,0.00930037,39
2_swa,0.009081505,40
24_swh,0.008533353,41
7_swh,0.008031999,42
7_swg,0.008025833,43
18_swa,0.0074245385,44
15_swg,0.007056806,45
9_swh,0.0064791227,46
8_swh,0.005782236,47
degree_balance,0.0055897953,48
3_swh,0.0054416647,49
16_swh,0.0052521797,50
23_swg,0.004934931,51
21_swh,0.00491579,52
2_swg,0.004782746,53
20_swa,0.004638531,54
16_swg,0.0040290332,55
1_swh,0.0034330168,56
13_swa,0.0031994176,57
5_swa,0.0030730348,58
10_swh,0.0029974375,59
8_swg,0.0029840088,60
24_swg,0.0029138415,61
3_swa,0.0027961778,62
5_swg,0.002736885,63
17_swa,0.0026094145,64
8_swa,0.002418322,65
5_swh,0.002234877,66
21_swa,0.0021287203,67
10_swg,0.002110428,68
1_swa,0.0019575926,69
20_swh,0.0018770715,70
21_swg,0.001862852,71
13_swg,0.0017795997,72
11_swh,0.0015823143,73
0_swh,0.0015692583,74
0_swa,0.0013823911,75
11_swa,0.001317881,76
17_swg,0.0013005643,77
17_swh,0.0012729128,78
11_swg,0.0010686214,79
0_swg,0.0006752725,80
1_swg,0.000650665,81
20_swg,0.0006154221,82
13_swh,0.00035339448,83
pairwise_timescale_density,0.0,84
