feature_name,mean_abs_shap,rank
pairwise_timescale_density,0.31993267,1
hcn,0.27596262,2
weight_reinforcement,0.15163158,3
lifetime_one_edge,0.14387144,4
4_swa,0.12852275,5
degree_reinforcement,0.11499683,6
19_swa,0.09689523,7
6_swh,0.056416646,8
6_swg,0.047228687,9
18_swh,0.036359377,10
24_swa,0.027932914,11
4_swg,0.027742103,12
12_swg,0.025655432,13
weight_balance,0.020150905,14
12_swh,0.018869003,15
12_swa,0.016770488,16
timescale_density_balance,0.013038583,17
lifetime_two_edges,0.0065012896,18
degree_balance,0.0028772834,19
