feature_name,mean_abs_shap,rank
13_swg,5.858389919220811,1
21_swg,5.835583422905316,2
3_swg,4.733367051366802,3
15_swg,4.716709143422494,4
13_swa,4.566141021836171,5
12_swg,4.365188395881105,6
4_swg,3.6717210951050587,7
3_swh,3.595095092545461,8
21_swa,3.554937636258741,9
15_swh,2.927145958781963,10
24_swg,2.877097215935671,11
8_swa,2.8721878154665266,12
21_swh,2.8529006543797077,13
17_swg,2.7550199883598605,14
5_swh,2.5036070935742556,15
10_swh,2.252545185301495,16
12_swh,2.221460176274535,17
20_swg,2.1923262714396428,18
14_swa,2.0586772497028454,19
1_swg,2.0411347673392246,20
7_swh,2.0045626324605013,21
12_swa,2.0041677264690607,22
22_swg,1.9886692465025253,23
20_swh,1.9469095746741556,24
17_swh,1.8949438748115475,25
0_swg,1.771210353550175,26
8_swg,1.7267749578294835,27
9_swg,1.7252183606623321,28
11_swg,1.7186673358998312,29
22_swh,1.6974480287897364,30
4_swa,1.6228154018542325,31
7_swa,1.4888041017609384,32
24_swh,1.449785641205868,33
14_swg,1.4267120119055812,34
3_swa,1.4249272984441674,35
0_swa,1.3886172358254822,36
4_swh,1.3684630398871498,37
11_swh,1.337548908838538,38
13_swh,1.264858925723654,39
11_swa,1.1170454352414576,40
1_swh,1.0959110775567302,41
10_swa,0.9876495466478699,42
15_swa,0.960320131860973,43
16_swa,0.8972356529700432,44
2_swg,0.8860043925627179,45
6_swh,0.79787082849771,46
8_swh,0.7711218855664775,47
6_swg,0.7221355200003696,48
17_swa,0.7176072267958574,49
22_swa,0.6115166941296147,50
degree_reinforcement,0.6099286111048016,51
18_swg,0.5882945474282689,52
5_swa,0.5726888700073878,53
20_swa,0.5458245328630557,54
2_swa,0.5304598359029153,55
0_swh,0.515856745325954,56
7_swg,0.5127460323656773,57
2_swh,0.49281086373702415,58
18_swa,0.4640182686836138,59
lifetime_one_edge,0.4207948140010092,60
19_swg,0.36028326824140805,61
9_swa,0.3536534236454614,62
hcn,0.33173333891968987,63
5_swg,0.32776700737536424,64
16_swh,0.2690741972433362,65
lifetime_two_edges,0.24779776640880524,66
23_swg,0.23424812667978345,67
degree_balance,0.22666782365403387,68
9_swh,0.22091809440776627,69
19_swh,0.20763332574498644,70
24_swa,0.20602764410385194,71
23_swh,0.1941801571524975,72
16_swg,0.1748966205214173,73
14_swh,0.11349518172545293,74
10_swg,0.113026455230169,75
weight_balance,0.09117349824409786,76
19_swa,0.08391190690323101,77
1_swa,0.04961439721211045,78
timescale_density_balance,0.04421161902275679,79
weight_reinforcement,0.026482612732716754,80
6_swa,0.025869510124632008,81
18_swh,0.0054881180280629315,82
23_swa,0.0030878747600123872,83
pairwise_timescale_density,0.0,84
