feature_name,mean_abs_shap,rank
weight_balance,0.0028718915502226237,1
timescale_density_balance,0.0023639692947199547,2
hcn,0.002346530853376228,3
13_swg,0.0018630721126402594,4
lifetime_two_edges,0.0018544962461104443,5
15_swg,0.0016621292324897339,6
12_swg,0.001596800222861842,7
degree_balance,0.0013929235726535586,8
21_swa,0.00070423451069034,9
degree_reinforcement,0.000655702775315298,10
21_swg,0.0006212818580217385,11
pairwise_timescale_density,0.0005038406261689935,12
weight_reinforcement,0.00019413797032768817,13
lifetime_one_edge,0.00016073533194196335,14
