feature_name,mean_abs_shap,rank
10_swa,0.07918164067349404,1
10_swg,0.06999758397684742,2
23_swa,0.06279783541922421,3
pairwise_timescale_density,0.047809008863549336,4
12_swa,0.042275413405576986,5
18_swh,0.024863906102848016,6
21_swh,0.018080991993948105,7
degree_reinforcement,0.017853507030830277,8
lifetime_two_edges,0.017556386753346635,9
hcn,0.016484607933039293,10
24_swg,0.015030793587601983,11
21_swg,0.014100480237515518,12
timescale_density_balance,0.012843176908966629,13
22_swg,0.010986201022696158,14
lifetime_one_edge,0.01042629402116537,15
24_swa,0.009885847098565102,16
10_swh,0.009333485282889646,17
degree_balance,0.009283737993588293,18
4_swa,0.008196696549696972,19
12_swg,0.008109168799983744,20
22_swh,0.007811469609218693,21
23_swh,0.007005894651006207,22
weight_reinforcement,0.006780826880011111,23
0_swa,0.006668702170574523,24
4_swg,0.006162820724659047,25
6_swa,0.0059945738699879805,26
23_swg,0.00548404599613871,27
7_swa,0.003273197321262838,28
weight_balance,0.003148782696250316,29
