feature_name,mean_abs_shap,rank
10_swa,0.8789537,1
18_swh,0.4910379,2
10_swg,0.44527066,3
23_swa,0.42525497,4
degree_reinforcement,0.38040924,5
12_swa,0.38032755,6
lifetime_two_edges,0.3376095,7
hcn,0.31510556,8
degree_balance,0.30904326,9
21_swg,0.30793282,10
5_swh,0.28461683,11
22_swh,0.26032433,12
weight_reinforcement,0.2598671,13
21_swa,0.2575498,14
timescale_density_balance,0.21778017,15
lifetime_one_edge,0.20122282,16
13_swh,0.19731222,17
pairwise_timescale_density,0.19174767,18
weight_balance,0.08332103,19
