feature_name,mean_abs_shap,rank
21_swa,1.4029464730391092,1
2_swa,1.15572234868971,2
8_swa,0.7490016555063769,3
10_swa,0.6612240683858165,4
22_swg,0.5605938305470443,5
16_swa,0.5409815537808351,6
4_swh,0.5382064042781507,7
20_swh,0.46128667889146324,8
degree_balance,0.45679376063796123,9
weight_reinforcement,0.40520655377442355,10
lifetime_two_edges,0.38244546829359555,11
12_swa,0.37969041668409903,12
13_swh,0.3525701104689144,13
degree_reinforcement,0.33423154738801014,14
6_swg,0.32399813225072926,15
lifetime_one_edge,0.2831268408144422,16
11_swa,0.27792922592850466,17
9_swa,0.22141110406320744,18
14_swh,0.21871798741468926,19
23_swa,0.21751990830369772,20
19_swh,0.13931057782463122,21
timescale_density_balance,0.12162662339876305,22
weight_balance,0.11683909872329794,23
9_swh,0.09469260546570067,24
12_swh,0.05066933239717948,25
17_swa,0.03886725043092108,26
hcn,0.0161440746829952,27
14_swa,0.008696804372637972,28
pairwise_timescale_density,0.0,29
