feature_name,mean_abs_shap,rank
weight_reinforcement,0.0428636243279092,1
pairwise_timescale_density,0.023751215901901927,2
2_swa,0.015561223430679498,3
timescale_density_balance,0.014221856056214966,4
degree_balance,0.014053356585082562,5
18_swh,0.013611733180774627,6
18_swg,0.013338431679271151,7
4_swh,0.011604616745410742,8
4_swg,0.010771344042642144,9
16_swa,0.009594762334782687,10
22_swa,0.009181947658033004,11
22_swh,0.008878638404102536,12
23_swa,0.008430377948032182,13
4_swa,0.008059030414050584,14
10_swa,0.007754716546776501,15
12_swa,0.007216909354418186,16
3_swh,0.007147605004952482,17
9_swa,0.007132603396038502,18
weight_balance,0.007085294235132881,19
9_swh,0.006937933271830588,20
8_swh,0.006733762632954631,21
9_swg,0.006582130096323728,22
hcn,0.0055362826439022605,23
lifetime_two_edges,0.005504534406113185,24
22_swg,0.0054736747480298945,25
1_swg,0.0047386209365542975,26
6_swh,0.004729129355731502,27
11_swa,0.0045956520770878174,28
5_swh,0.004503160059327906,29
6_swg,0.004478279684007675,30
15_swa,0.004314124302967193,31
0_swg,0.004104971067209089,32
3_swg,0.004071478969296921,33
degree_reinforcement,0.003760898112170633,34
17_swa,0.00368750809905241,35
24_swa,0.0035920849185156313,36
19_swa,0.0033308540818888202,37
8_swg,0.00332067933218044,38
1_swh,0.003176124866121433,39
6_swa,0.0031475611998320486,40
17_swg,0.003038527943100164,41
lifetime_one_edge,0.002427889230760359,42
1_swa,0.002397815628877326,43
20_swh,0.002347179383374365,44
17_swh,0.002280654597155977,45
21_swh,0.0021272965205598785,46
20_swg,0.0019017752669310969,47
8_swa,0.0018621276061822542,48
10_swh,0.0018603683402294915,49
