feature_name,mean_abs_shap,rank
weight_reinforcement,0.35730913,1
18_swg,0.11675942,2
degree_balance,0.10392745,3
3_swh,0.06830648,4
18_swh,0.04654155,5
weight_balance,0.04227125,6
23_swa,0.03947938,7
2_swa,0.038682695,8
1_swg,0.037751663,9
8_swh,0.035159945,10
timescale_density_balance,0.03251149,11
17_swa,0.030256392,12
18_swa,0.030252187,13
9_swh,0.02350549,14
6_swg,0.023301352,15
8_swg,0.01989294,16
16_swa,0.018939512,17
11_swa,0.016659442,18
9_swa,0.015410625,19
4_swh,0.006460619,20
15_swa,0.0,21
16_swh,0.0,22
16_swg,0.0,23
15_swh,0.0,24
15_swg,0.0,25
17_swg,0.0,26
17_swh,0.0,27
14_swa,0.0,28
14_swg,0.0,29
14_swh,0.0,30
19_swh,0.0,31
19_swa,0.0,32
22_swa,0.0,33
24_swg,0.0,34
24_swa,0.0,35
23_swh,0.0,36
23_swg,0.0,37
22_swh,0.0,38
22_swg,0.0,39
21_swh,0.0,40
19_swg,0.0,41
21_swg,0.0,42
21_swa,0.0,43
20_swh,0.0,44
20_swg,0.0,45
20_swa,0.0,46
13_swg,0.0,47
13_swh,0.0,48
hcn,0.0,49
13_swa,0.0,50
1_swh,0.0,51
4_swg,0.0,52
4_swa,0.0,53
3_swg,0.0,54
3_swa,0.0,55
2_swh,0.0,56
2_swg,0.0,57
1_swa,0.0,58
5_swg,0.0,59
0_swh,0.0,60
0_swg,0.0,61
0_swa,0.0,62
lifetime_two_edges,0.0,63
lifetime_one_edge,0.0,64
pairwise_timescale_density,0.0,65
5_swa,0.0,66
5_swh,0.0,67
12_swh,0.0,68
10_swg,0.0,69
12_swg,0.0,70
12_swa,0.0,71
11_swh,0.0,72
11_swg,0.0,73
degree_reinforcement,0.0,74
10_swh,0.0,75
10_swa,0.0,76
6_swa,0.0,77
9_swg,0.0,78
8_swa,0.0,79
7_swh,0.0,80
7_swg,0.0,81
7_swa,0.0,82
6_swh,0.0,83
24_swh,0.0,84
