feature_name,mean_abs_shap,rank
weight_reinforcement,0.7138261,1
4_swh,0.2652327,2
degree_balance,0.23569056,3
degree_reinforcement,0.1818246,4
18_swh,0.16345896,5
timescale_density_balance,0.16228424,6
9_swa,0.146937,7
8_swh,0.13817596,8
lifetime_two_edges,0.13230853,9
18_swg,0.13080327,10
6_swg,0.12469452,11
9_swh,0.12217602,12
1_swg,0.11046713,13
2_swa,0.09608848,14
weight_balance,0.08319934,15
3_swh,0.06974592,16
18_swa,0.068216,17
16_swa,0.059839763,18
17_swa,0.057317622,19
23_swa,0.05348311,20
8_swg,0.05209611,21
lifetime_one_edge,0.051802844,22
15_swa,0.039680373,23
11_swa,0.03860165,24
16_swh,0.021352615,25
hcn,0.01699633,26
16_swg,0.00885599,27
15_swh,0.0080063585,28
pairwise_timescale_density,0.0,29
