feature_name,mean_abs_shap,rank
13_swa,0.7687225360457487,1
9_swa,0.6407821750451289,2
8_swg,0.5855670699548194,3
10_swa,0.42167960971631824,4
17_swa,0.3858068415367073,5
2_swa,0.3298276667663204,6
13_swg,0.28210697686654645,7
weight_reinforcement,0.27865431018775455,8
8_swh,0.27169768931658195,9
timescale_density_balance,0.23741025354694145,10
lifetime_one_edge,0.22434704109558937,11
0_swa,0.2030928506862439,12
16_swh,0.20038425580617494,13
22_swh,0.19313906083977617,14
0_swg,0.14382135099834312,15
degree_reinforcement,0.14309939341900818,16
23_swa,0.14063504940812602,17
14_swh,0.1266847502278316,18
0_swh,0.12315288159166266,19
4_swh,0.12232183125141859,20
lifetime_two_edges,0.11946588424922046,21
1_swa,0.11874538120568844,22
12_swg,0.09672143574506772,23
19_swg,0.09290304525158181,24
11_swa,0.09186117383159129,25
2_swh,0.07932562289609052,26
14_swa,0.07037525887603965,27
24_swa,0.05339033926390997,28
15_swh,0.05164843854956899,29
1_swg,0.05159560334446287,30
1_swh,0.030712746022530643,31
3_swh,0.029907816331912244,32
18_swh,0.02975950416034012,33
weight_balance,0.028598031152637118,34
13_swh,0.025606744975008255,35
23_swh,0.02096542824002176,36
hcn,0.01257622929835793,37
10_swg,0.011718420398884518,38
degree_balance,0.009748986709721132,39
21_swa,0.008084933285835481,40
20_swa,8.481814714194792e-05,41
9_swg,0.0,42
18_swa,0.0,43
18_swg,0.0,44
4_swa,0.0,45
19_swa,0.0,46
3_swg,0.0,47
19_swh,0.0,48
20_swg,0.0,49
20_swh,0.0,50
21_swg,0.0,51
17_swg,0.0,52
21_swh,0.0,53
22_swa,0.0,54
22_swg,0.0,55
3_swa,0.0,56
2_swg,0.0,57
23_swg,0.0,58
pairwise_timescale_density,0.0,59
24_swg,0.0,60
17_swh,0.0,61
4_swg,0.0,62
9_swh,0.0,63
5_swa,0.0,64
8_swa,0.0,65
10_swh,0.0,66
7_swh,0.0,67
11_swg,0.0,68
11_swh,0.0,69
12_swa,0.0,70
7_swg,0.0,71
12_swh,0.0,72
7_swa,0.0,73
6_swh,0.0,74
6_swg,0.0,75
6_swa,0.0,76
14_swg,0.0,77
5_swh,0.0,78
15_swa,0.0,79
15_swg,0.0,80
5_swg,0.0,81
16_swa,0.0,82
16_swg,0.0,83
24_swh,0.0,84
