feature_name,mean_abs_shap,rank
8_swg,2.106159020997994,1
13_swa,1.3073008574932816,2
10_swa,0.6024330577018313,3
13_swg,0.5628445827804638,4
9_swa,0.5428445753751947,5
2_swa,0.5389080561350569,6
8_swh,0.4376362704230276,7
0_swa,0.37210324190480426,8
17_swa,0.3709405938603874,9
weight_reinforcement,0.3625746428620289,10
16_swh,0.24853323588347254,11
lifetime_one_edge,0.2347217631160683,12
23_swa,0.22458403860180642,13
19_swg,0.21249705706569685,14
12_swg,0.18767630163716856,15
timescale_density_balance,0.1780481221007762,16
22_swh,0.13002091114426895,17
lifetime_two_edges,0.12356034560745985,18
0_swg,0.12217393770226975,19
14_swh,0.11441149463727775,20
4_swh,0.10031754793015267,21
degree_reinforcement,0.09499688608540416,22
0_swh,0.05754040217254153,23
1_swa,0.053265856213069736,24
weight_balance,0.04638045486275285,25
degree_balance,0.03775585056932605,26
11_swa,0.024912569067131157,27
hcn,0.005351821803254385,28
pairwise_timescale_density,0.0,29
