feature_name,mean_abs_shap,rank
weight_reinforcement,0.0926129795928208,1
hcn,0.032703244020790785,2
3_swa,0.0179641057712081,3
22_swh,0.01785057295916184,4
14_swa,0.015298807975641177,5
22_swg,0.013613264616748774,6
pairwise_timescale_density,0.012745977606874076,7
timescale_density_balance,0.01225009977176259,8
18_swa,0.012124679106585894,9
22_swa,0.010007441571810084,10
degree_reinforcement,0.009402069004587734,11
14_swg,0.008758987249814889,12
13_swa,0.008389316708799844,13
0_swa,0.008328551257673409,14
3_swg,0.007715062359014769,15
14_swh,0.007464883377179376,16
lifetime_two_edges,0.0071899691616447515,17
2_swa,0.007041873656563946,18
0_swg,0.006754700809714875,19
5_swa,0.006678939363284371,20
9_swh,0.0066296447083376234,21
9_swa,0.006017787466701668,22
9_swg,0.005917192642823967,23
13_swh,0.005878491708961829,24
lifetime_one_edge,0.005757997140683153,25
10_swa,0.005642852138800052,26
4_swh,0.005406567775118556,27
13_swg,0.005370152720190241,28
21_swh,0.005293646230360167,29
4_swa,0.005061995858157862,30
5_swh,0.005004040274647496,31
21_swg,0.004894739842776102,32
12_swa,0.004597478296876679,33
5_swg,0.004506194383856272,34
3_swh,0.004426902463111297,35
4_swg,0.004255330995883356,36
degree_balance,0.003990716975979813,37
7_swa,0.003944518369767628,38
20_swa,0.003857253338267128,39
weight_balance,0.003731350211604576,40
6_swa,0.0035107911966963975,41
0_swh,0.0034419448575173845,42
18_swh,0.0033918938388422313,43
10_swg,0.0032254125990160624,44
20_swg,0.0031847340153386534,45
20_swh,0.0031253821301190404,46
16_swh,0.0028130430011507157,47
23_swa,0.0027858037613489673,48
19_swa,0.0027725100910390692,49
10_swh,0.002726762145773757,50
11_swa,0.002670596010780313,51
21_swa,0.0026358998922156396,52
16_swa,0.0025747597469668033,53
18_swg,0.0025514505230811997,54
2_swg,0.002343772549361893,55
6_swh,0.002286504782735622,56
17_swa,0.0021782180209559375,57
1_swh,0.0021450356833373797,58
7_swh,0.0020909392994374817,59
8_swa,0.0019896469362445553,60
17_swh,0.0018912464043574612,61
15_swa,0.0018616454798364903,62
17_swg,0.0017824641761416424,63
15_swg,0.00166073922071527,64
8_swh,0.0016085007332345286,65
1_swg,0.0015797747214012384,66
16_swg,0.0015045012493972872,67
19_swh,0.0014993298155139274,68
1_swa,0.0014815945449878627,69
6_swg,0.0012732164521534561,70
8_swg,0.0012189007850083471,71
19_swg,0.0011800744584672714,72
24_swa,0.0011779000778234098,73
15_swh,0.0011761399697250065,74
12_swh,0.0011114029530921406,75
12_swg,0.0011019454043834716,76
11_swg,0.0010576517672946984,77
7_swg,0.0010557373502293834,78
11_swh,0.0008112208767688349,79
2_swh,0.0007526458535906436,80
23_swg,0.0004289081517331257,81
23_swh,0.0003844672726029944,82
24_swh,8.827571144436557e-05,83
24_swg,8.430473887930931e-05,84
