feature_name,mean_abs_shap,rank
weight_reinforcement,1.0782431,1
18_swa,0.41187575,2
lifetime_two_edges,0.39799798,3
timescale_density_balance,0.3875923,4
14_swa,0.37639323,5
degree_reinforcement,0.36937717,6
22_swa,0.3221487,7
22_swh,0.28626817,8
10_swa,0.28604004,9
3_swa,0.2621912,10
13_swg,0.25375894,11
13_swa,0.23292248,12
20_swa,0.23213436,13
9_swg,0.22154567,14
13_swh,0.18596716,15
weight_balance,0.17362072,16
12_swa,0.1708888,17
5_swa,0.1571607,18
2_swa,0.15684552,19
degree_balance,0.1537087,20
21_swg,0.15284647,21
4_swg,0.14501137,22
4_swh,0.14208984,23
21_swa,0.14089742,24
18_swg,0.14024305,25
10_swg,0.13840865,26
3_swg,0.13555254,27
22_swg,0.1355293,28
4_swa,0.1327255,29
21_swh,0.13242336,30
14_swg,0.1309158,31
17_swa,0.12879263,32
16_swh,0.12817788,33
10_swh,0.12758404,34
0_swg,0.124294735,35
9_swh,0.123322606,36
3_swh,0.12272049,37
11_swa,0.11629423,38
18_swh,0.114578724,39
9_swa,0.11429938,40
19_swa,0.10462839,41
0_swa,0.10041379,42
14_swh,0.10036045,43
lifetime_one_edge,0.09995387,44
7_swa,0.093612246,45
7_swg,0.09190531,46
7_swh,0.09160311,47
6_swa,0.091013975,48
15_swa,0.08909465,49
6_swh,0.08641389,50
5_swh,0.083608985,51
5_swg,0.0817802,52
20_swg,0.081605494,53
23_swa,0.07919728,54
20_swh,0.07554726,55
1_swh,0.07476612,56
8_swh,0.0743874,57
17_swg,0.07078818,58
1_swa,0.06493323,59
17_swh,0.06241408,60
0_swh,0.060848627,61
6_swg,0.060633846,62
16_swg,0.060436808,63
8_swa,0.059792176,64
1_swg,0.051388543,65
16_swa,0.05085923,66
12_swg,0.04622417,67
11_swh,0.045361146,68
8_swg,0.04261427,69
19_swg,0.041142214,70
19_swh,0.0383615,71
12_swh,0.036228217,72
15_swh,0.035536375,73
2_swh,0.034422055,74
24_swa,0.024615519,75
2_swg,0.022709798,76
15_swg,0.019176058,77
hcn,0.01330869,78
23_swg,0.01201126,79
11_swg,0.009616407,80
23_swh,0.009337663,81
24_swh,0.00024094386,82
pairwise_timescale_density,0.0,83
24_swg,0.0,84
