feature_name,mean_abs_shap,rank
weight_reinforcement,1.2176831,1
14_swa,0.6527892,2
9_swg,0.6275829,3
lifetime_two_edges,0.55803514,4
18_swa,0.53370076,5
4_swh,0.5196535,6
13_swa,0.49795896,7
degree_reinforcement,0.45016694,8
10_swa,0.43560135,9
22_swa,0.41585952,10
timescale_density_balance,0.3917613,11
21_swg,0.38965613,12
22_swh,0.3782179,13
10_swg,0.34953678,14
3_swa,0.3155819,15
18_swg,0.30658278,16
4_swg,0.29888237,17
2_swa,0.2983145,18
13_swg,0.26869315,19
12_swa,0.2678717,20
degree_balance,0.26044413,21
lifetime_one_edge,0.2570779,22
5_swa,0.25156435,23
weight_balance,0.24439731,24
20_swa,0.22488533,25
21_swa,0.21808043,26
13_swh,0.17742686,27
hcn,0.038981598,28
pairwise_timescale_density,0.0,29
