feature_name,mean_abs_shap,rank
0_swh,0.016497372772772512,1
0_swg,0.015927919188406192,2
degree_balance,0.015305017288521605,3
0_swa,0.014997409269370031,4
9_swa,0.013305920222310448,5
5_swh,0.01210020523661964,6
degree_reinforcement,0.011428322258412565,7
lifetime_two_edges,0.008326880459307177,8
lifetime_one_edge,0.00471272274511735,9
timescale_density_balance,0.0023328903930602916,10
weight_balance,0.0011618173295788326,11
weight_reinforcement,0.00038676784908576295,12
hcn,6.7518331963382855e-06,13
pairwise_timescale_density,0.0,14
