feature_name,mean_abs_shap,rank
degree_reinforcement,0.09189293713618342,1
degree_balance,0.040891800128310084,2
3_swh,0.039581835408797124,3
21_swg,0.03805647376091804,4
pairwise_timescale_density,0.037370957336757646,5
3_swa,0.035833575570457174,6
9_swa,0.034467478451137075,7
weight_reinforcement,0.0298063415195956,8
10_swa,0.028922348313633883,9
lifetime_one_edge,0.02344220643865521,10
hcn,0.021927816468312676,11
lifetime_two_edges,0.018340892527479363,12
timescale_density_balance,0.013453222654356788,13
weight_balance,0.009824444021889103,14
