feature_name,mean_abs_shap,rank
degree_reinforcement,1.6850665,1
weight_reinforcement,0.8083939,2
degree_balance,0.7132999,3
19_swa,0.603892,4
19_swh,0.4406592,5
3_swg,0.42063114,6
5_swa,0.41555274,7
21_swh,0.4131758,8
7_swa,0.38817954,9
12_swh,0.38168177,10
0_swg,0.3388187,11
15_swa,0.2919705,12
5_swh,0.279764,13
0_swh,0.27326617,14
1_swg,0.2678984,15
0_swa,0.26442438,16
18_swa,0.2614333,17
21_swg,0.2582225,18
24_swh,0.2546637,19
9_swh,0.25311777,20
7_swh,0.25273624,21
2_swa,0.24960974,22
24_swa,0.24459252,23
lifetime_two_edges,0.23878162,24
lifetime_one_edge,0.22918352,25
3_swh,0.22651897,26
3_swa,0.21903856,27
weight_balance,0.21333838,28
5_swg,0.21124396,29
timescale_density_balance,0.20499767,30
22_swa,0.20492654,31
11_swg,0.20475802,32
1_swh,0.1934075,33
14_swg,0.18200347,34
20_swg,0.18099314,35
16_swg,0.1788879,36
22_swh,0.1742571,37
21_swa,0.17063059,38
17_swa,0.16962446,39
19_swg,0.16916633,40
14_swa,0.16900806,41
4_swa,0.15953475,42
11_swh,0.15871377,43
16_swh,0.15526313,44
8_swh,0.15494415,45
16_swa,0.1546646,46
13_swa,0.15445776,47
11_swa,0.14678907,48
20_swa,0.14592095,49
4_swg,0.13782121,50
10_swa,0.13731124,51
12_swg,0.12377143,52
9_swa,0.11195276,53
17_swg,0.11074471,54
18_swh,0.10243867,55
12_swa,0.10134993,56
23_swa,0.097184435,57
14_swh,0.096817814,58
4_swh,0.09339532,59
9_swg,0.08984495,60
13_swh,0.08938827,61
23_swg,0.08752098,62
17_swh,0.08715641,63
22_swg,0.084477276,64
6_swa,0.08388975,65
15_swg,0.08248449,66
6_swg,0.08095179,67
15_swh,0.07953893,68
10_swh,0.07930481,69
7_swg,0.078667045,70
24_swg,0.07738963,71
2_swh,0.07427084,72
10_swg,0.061620943,73
2_swg,0.05735473,74
8_swa,0.05513802,75
20_swh,0.045588247,76
1_swa,0.042671256,77
18_swg,0.039577592,78
6_swh,0.03719515,79
8_swg,0.037015405,80
23_swh,0.023544762,81
13_swg,0.016521018,82
pairwise_timescale_density,0.0,83
hcn,0.0,84
