feature_name,mean_abs_shap,rank
degree_reinforcement,1.7008957,1
degree_balance,0.65500176,2
pairwise_timescale_density,0.5064374,3
weight_reinforcement,0.44590932,4
hcn,0.4082692,5
21_swh,0.40413886,6
lifetime_one_edge,0.39309174,7
19_swh,0.39114034,8
9_swa,0.30740523,9
12_swh,0.29718286,10
7_swa,0.28832513,11
19_swa,0.25790113,12
18_swa,0.2542805,13
19_swg,0.25382093,14
3_swh,0.2504364,15
10_swa,0.24121101,16
5_swa,0.2319938,17
3_swa,0.22662689,18
0_swg,0.21168475,19
0_swa,0.20083304,20
lifetime_two_edges,0.20082662,21
weight_balance,0.19555816,22
15_swa,0.18914248,23
22_swa,0.1866006,24
21_swa,0.17589656,25
timescale_density_balance,0.1727434,26
1_swg,0.17138088,27
21_swg,0.16879745,28
4_swg,0.16844228,29
9_swh,0.16831379,30
16_swa,0.1627012,31
20_swa,0.156415,32
3_swg,0.15291452,33
4_swa,0.14732236,34
24_swh,0.14205468,35
16_swh,0.13772166,36
20_swg,0.13709016,37
7_swh,0.1345277,38
14_swh,0.13308252,39
12_swa,0.12897202,40
17_swa,0.12704284,41
15_swg,0.12698355,42
24_swg,0.118921585,43
0_swh,0.11872035,44
5_swg,0.11632878,45
18_swh,0.11314718,46
24_swa,0.11300451,47
5_swh,0.1118324,48
11_swh,0.105565645,49
2_swa,0.10105524,50
22_swh,0.099858396,51
9_swg,0.09682697,52
22_swg,0.09494513,53
11_swg,0.094749756,54
23_swa,0.09110589,55
4_swh,0.090178125,56
6_swa,0.08461845,57
1_swh,0.08058403,58
10_swh,0.07920007,59
15_swh,0.07814555,60
13_swa,0.077416934,61
23_swh,0.07359322,62
14_swa,0.07326018,63
8_swa,0.06338907,64
11_swa,0.063355,65
18_swg,0.06251739,66
12_swg,0.061855312,67
17_swg,0.059814904,68
16_swg,0.05891934,69
8_swh,0.058291517,70
13_swh,0.05638773,71
7_swg,0.052485023,72
1_swa,0.04699013,73
10_swg,0.045807432,74
2_swh,0.042756025,75
6_swh,0.03645807,76
14_swg,0.03359083,77
23_swg,0.030911561,78
6_swg,0.028998628,79
13_swg,0.028169645,80
20_swh,0.026823862,81
17_swh,0.02645655,82
2_swg,0.022524051,83
8_swg,0.01360334,84
