feature_name,mean_abs_shap,rank
3_swa,0.04395124147425348,1
weight_reinforcement,0.04001682482602357,2
5_swa,0.03298090597631186,3
hcn,0.03291749304178625,4
19_swg,0.02230711694200634,5
0_swa,0.014390580725608485,6
10_swg,0.013577321833689586,7
10_swa,0.013529613693608496,8
19_swh,0.013415462418174729,9
8_swh,0.01188524237196666,10
5_swg,0.011666103116175866,11
23_swa,0.011606987116567597,12
19_swa,0.011379842199808086,13
22_swh,0.010714706505399005,14
pairwise_timescale_density,0.01008064914645467,15
3_swg,0.010000353877412929,16
degree_reinforcement,0.009227920914632003,17
lifetime_two_edges,0.008817352707686611,18
17_swh,0.008046620672520235,19
14_swh,0.006949732908774081,20
13_swa,0.006949523369637664,21
10_swh,0.006935038964920508,22
15_swa,0.006738553892884844,23
14_swa,0.006723337449220223,24
18_swh,0.006508294139132613,25
9_swa,0.006429281593488551,26
5_swh,0.006354987322453796,27
12_swa,0.006302431187729692,28
timescale_density_balance,0.006242002923009557,29
0_swg,0.006228385306616896,30
14_swg,0.006149212324244423,31
20_swh,0.0060517071738947804,32
22_swg,0.005930966636456172,33
weight_balance,0.0058101090616490235,34
20_swg,0.005708522387720157,35
17_swg,0.005658790979246891,36
24_swa,0.005638604648487237,37
16_swa,0.005578056179039182,38
lifetime_one_edge,0.005562456538328311,39
degree_balance,0.005434918152513762,40
7_swh,0.005409333230886752,41
17_swa,0.005290353902076646,42
3_swh,0.005020308670308147,43
6_swa,0.005006600337273957,44
22_swa,0.004938097344856227,45
18_swa,0.004280716561231765,46
0_swh,0.0041270978263055645,47
23_swg,0.00383350246504077,48
23_swh,0.003394599525547686,49
