feature_name,mean_abs_shap,rank
weight_reinforcement,0.9006397,1
3_swa,0.74015206,2
5_swa,0.42952815,3
24_swa,0.40752128,4
4_swa,0.40643978,5
8_swh,0.35246786,6
22_swh,0.34270152,7
degree_reinforcement,0.33987623,8
0_swa,0.3300489,9
17_swh,0.31224945,10
23_swa,0.30889606,11
19_swa,0.30169836,12
lifetime_two_edges,0.29511034,13
14_swh,0.2878773,14
19_swg,0.28084335,15
12_swa,0.27212936,16
20_swh,0.26625875,17
7_swh,0.26522765,18
10_swa,0.2551812,19
lifetime_one_edge,0.25257394,20
19_swh,0.22625351,21
9_swh,0.2222319,22
15_swa,0.22196929,23
20_swa,0.21482304,24
3_swg,0.20741288,25
20_swg,0.20595816,26
23_swh,0.20589694,27
weight_balance,0.2020561,28
timescale_density_balance,0.19415332,29
9_swa,0.18614638,30
14_swa,0.1848299,31
21_swh,0.18188736,32
6_swa,0.17878315,33
degree_balance,0.17759359,34
21_swg,0.17594811,35
6_swh,0.16862465,36
4_swg,0.1653027,37
21_swa,0.16322616,38
13_swa,0.16304652,39
16_swa,0.16284521,40
0_swg,0.15765528,41
0_swh,0.15699036,42
9_swg,0.15259501,43
7_swa,0.14496496,44
16_swh,0.14433491,45
12_swh,0.143548,46
15_swh,0.14247891,47
17_swg,0.1412269,48
22_swg,0.13920915,49
10_swg,0.13857016,50
10_swh,0.1327326,51
5_swg,0.13221614,52
11_swh,0.12899345,53
24_swh,0.12860675,54
7_swg,0.12646636,55
8_swa,0.12621734,56
4_swh,0.12590817,57
22_swa,0.1258621,58
15_swg,0.121349566,59
17_swa,0.1180216,60
14_swg,0.1174966,61
24_swg,0.1136422,62
18_swh,0.11283453,63
13_swh,0.11273238,64
5_swh,0.11132696,65
18_swg,0.10627002,66
18_swa,0.10592948,67
11_swa,0.104822256,68
12_swg,0.104805775,69
23_swg,0.09593055,70
13_swg,0.095271416,71
8_swg,0.089507736,72
3_swh,0.08943521,73
1_swh,0.08390943,74
2_swa,0.077718735,75
2_swh,0.073146135,76
6_swg,0.07305312,77
16_swg,0.057228893,78
11_swg,0.054417297,79
1_swa,0.053766675,80
2_swg,0.0509067,81
1_swg,0.04991688,82
pairwise_timescale_density,0.0,83
hcn,0.0,84
