feature_name,mean_abs_shap,rank
weight_reinforcement,0.90724283,1
3_swa,0.881463,2
17_swh,0.47913948,3
4_swa,0.46729276,4
5_swa,0.45766404,5
24_swa,0.45204645,6
22_swh,0.44414166,7
8_swh,0.43720123,8
7_swh,0.43075362,9
14_swh,0.4058278,10
23_swa,0.40493426,11
degree_reinforcement,0.38416243,12
12_swa,0.38196042,13
0_swa,0.36433718,14
lifetime_two_edges,0.34496686,15
10_swa,0.34300897,16
19_swg,0.3244269,17
9_swh,0.31227657,18
20_swa,0.30534455,19
19_swa,0.30485997,20
15_swa,0.29316044,21
13_swa,0.27953824,22
lifetime_one_edge,0.27596346,23
19_swh,0.27541354,24
23_swh,0.26697356,25
20_swh,0.25237688,26
20_swg,0.25038034,27
weight_balance,0.24328655,28
6_swh,0.23755471,29
timescale_density_balance,0.22845548,30
degree_balance,0.22620566,31
3_swg,0.22469583,32
0_swg,0.2225794,33
21_swg,0.21685228,34
12_swh,0.215414,35
6_swa,0.21369414,36
14_swa,0.20993823,37
7_swa,0.20201205,38
0_swh,0.2014998,39
9_swa,0.1981785,40
4_swg,0.19731659,41
16_swa,0.18384424,42
21_swh,0.18266293,43
16_swh,0.17520729,44
15_swh,0.17019652,45
21_swa,0.16142489,46
9_swg,0.1326426,47
pairwise_timescale_density,0.0,48
hcn,0.0,49
