feature_name,mean_abs_shap,rank
4_swg,13.057180010218225,1
4_swa,7.229123066005117,2
4_swh,5.789820251334958,3
9_swg,5.373431846925011,4
9_swh,2.9115802395115105,5
9_swa,2.092085038459098,6
0_swg,1.8588147389407959,7
3_swg,1.2781742987078244,8
0_swa,0.9171537119555552,9
3_swa,0.9150440618596773,10
21_swa,0.8305501537904244,11
1_swa,0.7526706599733746,12
3_swh,0.7016455154218029,13
20_swa,0.6927358217996394,14
12_swa,0.6088361672975986,15
14_swg,0.5127186456149185,16
weight_reinforcement,0.4835387259806685,17
1_swh,0.47000005091314895,18
1_swg,0.4055753946561307,19
lifetime_two_edges,0.4041872611756668,20
2_swa,0.3576325487914186,21
degree_reinforcement,0.32897005157616444,22
16_swa,0.30358714379572016,23
2_swg,0.2757221042782201,24
10_swg,0.2742397653103816,25
lifetime_one_edge,0.27347958560144386,26
10_swa,0.27121900557750955,27
13_swg,0.26584561093448716,28
5_swh,0.26357022764131116,29
24_swg,0.25910088440233736,30
21_swg,0.21309866478416137,31
15_swa,0.20619017188943073,32
7_swg,0.19973492664142553,33
6_swa,0.1963977980151694,34
0_swh,0.14561092007221127,35
24_swa,0.1445736195463986,36
18_swa,0.14447182858575502,37
5_swa,0.1443899249151856,38
7_swa,0.13922896394571538,39
11_swa,0.11980835656973261,40
15_swg,0.11140641181967732,41
degree_balance,0.08446075424200067,42
2_swh,0.08426352010659174,43
timescale_density_balance,0.07011357568885916,44
12_swh,0.06719383288074811,45
weight_balance,0.03758572203194897,46
6_swg,0.008954806861560005,47
pairwise_timescale_density,0.0,48
hcn,0.0,49
