feature_name,mean_abs_shap,rank
weight_reinforcement,0.09222494386326036,1
12_swa,0.06694087933329802,2
2_swg,0.04927994311775143,3
lifetime_two_edges,0.037849486254875025,4
degree_reinforcement,0.035767198210360625,5
2_swa,0.033030921142934974,6
pairwise_timescale_density,0.03261620210888527,7
0_swa,0.0316905627649287,8
timescale_density_balance,0.029491745441970654,9
degree_balance,0.023956061966133542,10
lifetime_one_edge,0.019696916278734575,11
4_swh,0.01906661415552636,12
hcn,0.011281092544456271,13
weight_balance,0.0085885324366731,14
