feature_name,mean_abs_shap,rank
weight_reinforcement,0.68999124,1
degree_reinforcement,0.39452025,2
lifetime_two_edges,0.37385178,3
12_swa,0.35392994,4
pairwise_timescale_density,0.33402908,5
timescale_density_balance,0.23867168,6
lifetime_one_edge,0.22474173,7
4_swa,0.21123752,8
0_swa,0.16141015,9
degree_balance,0.15858468,10
18_swh,0.15706377,11
19_swg,0.15007502,12
14_swa,0.13120426,13
16_swa,0.12184408,14
5_swh,0.121385545,15
4_swg,0.11642661,16
2_swa,0.108270645,17
2_swg,0.104852505,18
22_swh,0.0981988,19
18_swg,0.09435398,20
21_swa,0.092412375,21
17_swh,0.09190081,22
7_swh,0.08899313,23
19_swa,0.08536381,24
23_swa,0.08426958,25
16_swg,0.084266745,26
9_swh,0.08237633,27
4_swh,0.082009226,28
hcn,0.07916358,29
21_swh,0.07911889,30
0_swg,0.07223783,31
24_swg,0.06652373,32
20_swh,0.06631925,33
23_swh,0.06351977,34
5_swa,0.063068844,35
20_swa,0.062054016,36
12_swh,0.061135992,37
5_swg,0.060164362,38
3_swh,0.05959539,39
24_swa,0.058536883,40
15_swa,0.058339763,41
weight_balance,0.058161486,42
24_swh,0.057333406,43
17_swg,0.056599513,44
7_swg,0.05657812,45
9_swg,0.056304853,46
3_swa,0.056079023,47
9_swa,0.05568652,48
10_swa,0.05525335,49
0_swh,0.055201,50
22_swg,0.053131092,51
16_swh,0.052098554,52
10_swh,0.051864747,53
2_swh,0.051342525,54
14_swg,0.049143113,55
19_swh,0.048940115,56
10_swg,0.047886986,57
6_swh,0.045309216,58
20_swg,0.043217156,59
11_swh,0.042513587,60
17_swa,0.041917562,61
12_swg,0.039262366,62
13_swg,0.03874847,63
7_swa,0.03870956,64
14_swh,0.038090277,65
22_swa,0.037986055,66
15_swh,0.03583963,67
13_swh,0.03539697,68
13_swa,0.03506344,69
23_swg,0.032629654,70
11_swg,0.031495433,71
18_swa,0.031288527,72
8_swa,0.030703656,73
3_swg,0.030004947,74
15_swg,0.028880773,75
11_swa,0.027319834,76
1_swa,0.027054694,77
21_swg,0.026109995,78
8_swh,0.025338551,79
1_swh,0.025228068,80
6_swa,0.024929577,81
6_swg,0.021524167,82
8_swg,0.019170353,83
1_swg,0.014915201,84
