feature_name,mean_abs_shap,rank
pairwise_timescale_density,3.62479501970285,1
0_swa,3.347865107595221,2
10_swa,2.9592345203053325,3
17_swa,2.546590168431729,4
5_swa,2.2244974270202538,5
7_swa,1.4692596759231331,6
12_swa,1.4609810041838882,7
1_swg,1.355318137900861,8
9_swg,1.2621043098942024,9
lifetime_two_edges,1.2144556890236935,10
16_swh,1.0856833622741835,11
lifetime_one_edge,1.0594760174499827,12
weight_reinforcement,0.9130919125238061,13
21_swa,0.8725123766599989,14
14_swa,0.8352904103815961,15
16_swg,0.8172081715840375,16
timescale_density_balance,0.775026777093327,17
weight_balance,0.7680782932884238,18
11_swa,0.7174187368653585,19
24_swg,0.693157010980324,20
5_swg,0.6899525900108241,21
2_swa,0.611789776911768,22
12_swh,0.5211266345597217,23
23_swg,0.4753680023868159,24
hcn,0.4359026354836289,25
2_swh,0.4195196439858224,26
20_swa,0.34689883568303714,27
20_swh,0.30493847617931963,28
17_swh,0.1998782693659377,29
degree_balance,0.09961497479096526,30
22_swg,0.04405424203402457,31
degree_reinforcement,0.0,32
19_swh,0.0,33
16_swa,0.0,34
20_swg,0.0,35
19_swg,0.0,36
2_swg,0.0,37
1_swh,0.0,38
17_swg,0.0,39
18_swh,0.0,40
18_swa,0.0,41
4_swh,0.0,42
19_swa,0.0,43
18_swg,0.0,44
15_swg,0.0,45
3_swg,0.0,46
21_swg,0.0,47
5_swh,0.0,48
1_swa,0.0,49
