feature_name,mean_abs_shap,rank
22_swa,0.10050638030710196,1
22_swh,0.045638795368204,2
16_swa,0.04362607878810499,3
23_swa,0.029705990989252137,4
12_swa,0.022895615871876173,5
lifetime_one_edge,0.016012278799431796,6
lifetime_two_edges,0.009168245217654981,7
degree_balance,0.007573461439554586,8
pairwise_timescale_density,0.007299768708229286,9
timescale_density_balance,0.006334862853623013,10
weight_reinforcement,0.005681729202511928,11
hcn,0.004033047915960313,12
degree_reinforcement,0.0029617195389528453,13
weight_balance,0.0014880685290755036,14
