feature_name,mean_abs_shap,rank
12_swa,0.9537663,1
22_swa,0.5731063,2
16_swa,0.5725103,3
19_swa,0.517538,4
lifetime_one_edge,0.40116394,5
19_swg,0.33820096,6
4_swh,0.31903464,7
14_swa,0.3075903,8
22_swh,0.27486518,9
10_swg,0.21835807,10
24_swa,0.20810844,11
21_swg,0.18828218,12
11_swh,0.1866988,13
weight_reinforcement,0.18135908,14
3_swg,0.18114401,15
11_swg,0.17739412,16
15_swa,0.17637314,17
lifetime_two_edges,0.17189083,18
timescale_density_balance,0.165383,19
4_swg,0.15894516,20
4_swa,0.13589288,21
18_swg,0.13275039,22
21_swh,0.13262367,23
16_swh,0.12929434,24
degree_reinforcement,0.12667876,25
7_swg,0.1165744,26
3_swh,0.11330971,27
0_swh,0.102619566,28
0_swa,0.09136975,29
24_swh,0.06097855,30
5_swa,0.059062954,31
14_swh,0.055912033,32
8_swa,0.05255044,33
20_swh,0.052257437,34
17_swa,0.04627114,35
22_swg,0.04595821,36
7_swa,0.044157743,37
degree_balance,0.03947734,38
20_swa,0.03640694,39
10_swa,0.033284493,40
5_swg,0.026051082,41
6_swh,0.023307055,42
2_swg,0.018823696,43
weight_balance,0.015891535,44
16_swg,0.012293772,45
24_swg,0.008229985,46
17_swh,0.0,47
pairwise_timescale_density,0.0,48
hcn,0.0,49
