feature_name,mean_abs_shap,rank
12_swa,1.284632008651953,1
14_swa,0.6398005578320021,2
24_swa,0.11334419270796411,3
23_swg,0.10469101830421833,4
23_swa,0.09397549854042742,5
hcn,0.0,6
14_swh,0.0,7
16_swh,0.0,8
16_swg,0.0,9
16_swa,0.0,10
15_swh,0.0,11
15_swg,0.0,12
15_swa,0.0,13
13_swh,0.0,14
14_swg,0.0,15
17_swg,0.0,16
13_swg,0.0,17
13_swa,0.0,18
12_swh,0.0,19
12_swg,0.0,20
11_swh,0.0,21
17_swa,0.0,22
18_swa,0.0,23
17_swh,0.0,24
21_swa,0.0,25
24_swg,0.0,26
23_swh,0.0,27
22_swh,0.0,28
22_swg,0.0,29
22_swa,0.0,30
21_swh,0.0,31
21_swg,0.0,32
20_swh,0.0,33
degree_reinforcement,0.0,34
20_swg,0.0,35
20_swa,0.0,36
19_swh,0.0,37
19_swg,0.0,38
19_swa,0.0,39
18_swh,0.0,40
18_swg,0.0,41
11_swg,0.0,42
11_swa,0.0,43
10_swh,0.0,44
3_swh,0.0,45
3_swa,0.0,46
2_swh,0.0,47
2_swg,0.0,48
2_swa,0.0,49
1_swh,0.0,50
1_swg,0.0,51
1_swa,0.0,52
0_swh,0.0,53
0_swg,0.0,54
0_swa,0.0,55
lifetime_two_edges,0.0,56
lifetime_one_edge,0.0,57
weight_balance,0.0,58
degree_balance,0.0,59
timescale_density_balance,0.0,60
pairwise_timescale_density,0.0,61
weight_reinforcement,0.0,62
3_swg,0.0,63
4_swa,0.0,64
10_swg,0.0,65
4_swg,0.0,66
10_swa,0.0,67
9_swh,0.0,68
9_swg,0.0,69
9_swa,0.0,70
8_swh,0.0,71
8_swg,0.0,72
8_swa,0.0,73
7_swh,0.0,74
7_swg,0.0,75
7_swa,0.0,76
6_swh,0.0,77
6_swg,0.0,78
6_swa,0.0,79
5_swh,0.0,80
5_swg,0.0,81
5_swa,0.0,82
4_swh,0.0,83
24_swh,0.0,84
