feature_name,mean_abs_shap,rank
12_swa,0.1879942702826597,1
14_swa,0.15757371532161316,2
23_swa,0.1510298486044453,3
23_swg,0.1490149507149156,4
24_swa,0.054164079708808925,5
lifetime_two_edges,0.02961112039595168,6
weight_balance,0.021912441976934937,7
degree_reinforcement,0.02043408215372528,8
degree_balance,0.017209994776066523,9
timescale_density_balance,0.009116053194962111,10
lifetime_one_edge,0.005827664045441246,11
hcn,0.0040463124032875716,12
weight_reinforcement,0.0003905295872618769,13
pairwise_timescale_density,0.0,14
