feature_name,mean_abs_shap,rank
18_swa,1.1576678,1
22_swa,0.8852612,2
18_swg,0.59701097,3
lifetime_two_edges,0.4585226,4
12_swa,0.4377568,5
21_swa,0.4341112,6
9_swh,0.4137288,7
14_swa,0.29258594,8
12_swg,0.2727963,9
1_swg,0.22496794,10
13_swh,0.20687155,11
21_swg,0.20254429,12
14_swh,0.18992098,13
timescale_density_balance,0.17658967,14
2_swa,0.17543675,15
15_swg,0.1737169,16
24_swa,0.15918985,17
15_swa,0.14591244,18
8_swa,0.1430773,19
19_swa,0.12791578,20
weight_balance,0.10235813,21
16_swa,0.09779431,22
degree_reinforcement,0.08699087,23
8_swh,0.07586369,24
22_swg,0.0667177,25
22_swh,0.060462344,26
4_swa,0.057542264,27
19_swg,0.055620916,28
9_swa,0.05195831,29
7_swa,0.049687628,30
1_swa,0.048065193,31
2_swh,0.046869673,32
degree_balance,0.043601777,33
23_swa,0.043272976,34
9_swg,0.038725108,35
13_swa,0.03745394,36
10_swa,0.036978874,37
11_swa,0.03331001,38
23_swg,0.032397673,39
4_swg,0.027527755,40
11_swg,0.027176531,41
0_swg,0.026545666,42
23_swh,0.02646253,43
15_swh,0.0152015,44
11_swh,0.013540605,45
24_swh,0.008114449,46
24_swg,0.007714488,47
7_swg,0.0075628674,48
lifetime_one_edge,0.004533505,49
4_swh,0.0044264,50
1_swh,0.0038895633,51
weight_reinforcement,0.00257709,52
6_swa,0.0,53
3_swg,0.0,54
3_swh,0.0,55
5_swa,0.0,56
5_swg,0.0,57
6_swg,0.0,58
7_swh,0.0,59
17_swa,0.0,60
6_swh,0.0,61
8_swg,0.0,62
10_swg,0.0,63
10_swh,0.0,64
14_swg,0.0,65
16_swg,0.0,66
3_swa,0.0,67
5_swh,0.0,68
0_swa,0.0,69
2_swg,0.0,70
17_swg,0.0,71
pairwise_timescale_density,0.0,72
21_swh,0.0,73
18_swh,0.0,74
17_swh,0.0,75
20_swh,0.0,76
0_swh,0.0,77
20_swg,0.0,78
20_swa,0.0,79
19_swh,0.0,80
12_swh,0.0,81
16_swh,0.0,82
13_swg,0.0,83
hcn,0.0,84
