feature_name,mean_abs_shap,rank
13_swa,4.47329066084207,1
20_swa,3.488324709119344,2
5_swa,3.2919082012408807,3
6_swa,2.923897816985258,4
10_swa,1.9094676686789933,5
24_swa,1.850817730326883,6
9_swh,1.6801650078395642,7
7_swa,1.6548014027081854,8
0_swa,1.4941078249634068,9
17_swa,1.2740014798876589,10
15_swh,1.2195735186185095,11
4_swa,1.2050633014913226,12
22_swg,1.2027287998040017,13
9_swa,1.0013737537069214,14
12_swa,0.9882058793476052,15
3_swg,0.8489042258664282,16
23_swa,0.8186191748309862,17
1_swg,0.804286383335526,18
8_swh,0.7477326790885964,19
19_swa,0.6630562748250044,20
16_swh,0.6403892617412534,21
degree_reinforcement,0.6398220941356391,22
2_swa,0.6313361990021886,23
12_swg,0.5989230234745528,24
19_swg,0.583651248741048,25
24_swg,0.5817238823479822,26
11_swa,0.4945133402387508,27
14_swh,0.37328200314864063,28
weight_reinforcement,0.3726080216547389,29
degree_balance,0.36983079410946523,30
3_swa,0.36735724295915917,31
16_swa,0.3670406357085527,32
18_swa,0.3245633124985555,33
11_swh,0.2316803559727033,34
hcn,0.22537354180152794,35
timescale_density_balance,0.22114687326820903,36
lifetime_one_edge,0.08480575880508945,37
weight_balance,0.06944700817498506,38
24_swh,0.061942167806051725,39
lifetime_two_edges,0.05758680683937504,40
13_swh,0.0,41
4_swh,0.0,42
pairwise_timescale_density,0.0,43
20_swg,0.0,44
1_swh,0.0,45
18_swg,0.0,46
18_swh,0.0,47
1_swa,0.0,48
0_swh,0.0,49
